'太原市促进文化产业发展条例',太原市人民代表大会常务委员会,2009-04-01,现行有效,地方性法规及文件
'朔州市人民政府关于支持承接加工贸易产业转移若干政策措施的通知',朔州市人民政府,2016-06-13,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于印发晋中市推进中药材产业振兴翻番发展的实施方案的通知',晋中市人民政府办公厅,2016-04-26,现行有效,地方政府规章及文件
'晋中市人民政府关于加快发展体育产业促进体育消费的实施意见',晋中市人民政府,2016-04-12,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于印发晋中市加快推进电动汽车产业发展和推广应用实施方案的通知',晋中市人民政府办公厅,2016-02-23,现行有效,地方政府规章及文件
'忻州市人民政府办公厅关于促进房地产业平稳健康发展的意见',忻州市人民政府办公厅,2015-12-21,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于推进晋中市甲醇汽车产业2015-2017年发展和推广应用的实施意见',晋中市人民政府办公厅,2015-10-21,现行有效,地方政府规章及文件
'临汾市人民政府关于促进地理信息产业发展的实施意见',临汾市人民政府,2015-08-17,现行有效,地方政府规章及文件
'山西省人民政府关于促进云计算创新发展培育信息产业新业态的实施意见',山西省人民政府,2015-08-04,现行有效,地方政府规章及文件
'山西省人民政府关于加快发展体育产业促进体育消费的实施意见',山西省人民政府,2015-07-31,现行有效,地方政府规章及文件
'临汾市人民政府办公厅关于印发临汾市加快推进新能源汽车产业发展和推广应用实施方案的通知',临汾市人民政府办公厅,2015-06-05,现行有效,地方政府规章及文件
'高平市人民政府关于加快旅游产业发展的实施意见',高平市人民政府,2015-01-19,现行有效,地方政府规章及文件
'临汾市人民政府关于印发临汾市推进煤炭产业“六型转变”2015年实施方案的通知',临汾市人民政府,2015-01-16,现行有效,地方政府规章及文件
'朔州市人民政府关于印发朔州市加快文化产业发展的若干措施的通知',朔州市人民政府,2015-01-08,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省加快发展生产性服务业促进产业结构调整升级实施方案的通知',山西省人民政府,2014-12-12,现行有效,地方政府规章及文件
'太原市人民政府关于加快推进光伏产业发展的实施意见',太原市人民政府,2014-09-26,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省支持文化产业加快发展的若干措施的通知',山西省人民政府,2014-08-23,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省推进文化创意和设计服务与相关产业融合发展的行动计划的通知',山西省人民政府,2014-08-19,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于进一步推进干果产业提质增效的实施意见',晋中市人民政府办公厅,2014-07-29,现行有效,地方政府规章及文件
'临汾市人民政府办公厅关于印发临汾市加快发展节能环保产业实施方案的通知',临汾市人民政府办公厅,2014-06-30,现行有效,地方政府规章及文件
'山西省人民政府印发关于围绕煤炭产业清洁安全低碳高效发展重点安排的科技攻关项目指南的通知',山西省人民政府,2014-02-25,现行有效,地方政府规章及文件
'山西省人民政府关于加快促进光伏产业健康发展的实施意见',山西省人民政府,2014-02-08,现行有效,地方政府规章及文件
'晋城市人民政府办公厅转发市农业委员会《关于振兴杂粮产业意见》的通知',晋城市人民政府办公厅,2013-10-10,现行有效,地方政府规章及文件
'山西省人民政府关于加快推进煤层气产业发展的若干意见',山西省人民政府,2013-08-12,现行有效,地方政府规章及文件
'太原市人民政府办公厅关于印发太原市新兴产业示范基地管理试行办法的通知',太原市人民政府办公厅,2013-08-06,现行有效,地方政府规章及文件
'临汾市人民政府办公厅转发市农业委员会《关于振兴杂粮产业的意见》的通知',临汾市人民政府办公厅,2013-07-12,现行有效,地方政府规章及文件
'关于印发《大同市新兴能源产业发展“十二五”规划》的通知',大同市人民政府办公厅,2013-06-15,现行有效,地方政府规章及文件
'山西省人民政府关于加快推进军民结合产业发展的意见',山西省人民政府,2013-04-24,现行有效,地方政府规章及文件
'山西省人民政府关于深化流通体制改革加快流通产业发展的实施意见',山西省人民政府,2012-12-09,现行有效,地方政府规章及文件
'太原市人民政府批转市经信委关于《新兴产业项目专项资金使用管理实施意见》的通知',太原市人民政府,2012-11-05,现行有效,地方政府规章及文件
'晋中市人民政府关于印发晋中市文化旅游产业招商引资和吸引民间投资优惠办法(试行)的通知',晋中市人民政府,2012-04-12,现行有效,地方政府规章及文件
'晋中市人民政府关于印发晋中市文化产业发展专项资金使用管理办法(试行)的通知',晋中市人民政府,2012-03-22,现行有效,地方政府规章及文件
'太原高新技术产业开发区自主创新项目资助管理办法(暂行)',太原市高新技术产业开发区管理委员会,2012,现行有效,地方政府规章及文件
'关于印发《大同市文化产业调查实施方案》的通知',大同市人民政府办公厅,2011-12-21,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于印发吕梁市扶持沙棘产业发展实施方案的通知',吕梁市人民政府办公厅,2016-09-27,现行有效,地方政府规章及文件
'吕梁市人民政府关于支持承接加工贸易产业转移若干政策措施的通知',吕梁市人民政府,2016-06-18,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于印发吕梁市承接加工贸易产业转移目标考评办法的通知',吕梁市人民政府办公厅,2016-06-18,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于加快推进电动汽车产业发展和推广应用的实施意见',吕梁市人民政府办公厅,2016-02-17,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市加快发展生产性服务业促进产业结构调整升级实施方案的通知',吕梁市人民政府,2015-10-14,现行有效,地方政府规章及文件
'吕梁市人民政府关于鼓励高新技术企业创新发展促进产业转型升级的意见',吕梁市人民政府,2014-12-16,现行有效,地方政府规章及文件
'朔州市人民政府关于印发朔州市推进文化创意和设计服务与相关产业融合发展行动计划的通知',朔州市人民政府,2014-12-08,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市产业扶贫开发实施办法的通知',吕梁市人民政府,2013-12-24,现行有效,地方政府规章及文件
'山西省商务厅关于加强产业损害预警工作的指导意见',山西省商务厅,2013-12-18,现行有效,地方政府规章及文件
'武隆县和顺镇人民政府关于印发和顺镇2012年乡村旅游扶贫产业项目实施方案的通知',重庆市武隆县和顺镇人民政府,2013-03-27,已失效,地方政府规章及文件
'吕梁市人民政府办公厅关于发展2012年设施蔬菜产业的意见',吕梁市人民政府办公厅,2012-09-14,现行有效,地方政府规章及文件
'关于印发山西省新兴产业领军人才培育工程实施意见的通知',山西省人力资源和社会保障厅,2012-04-11,现行有效,地方政府规章及文件
'太原高新技术产业开发区自主创新项目资助管理办法(暂行)',太原市高新技术产业开发区管理委员会,2012,现行有效,地方政府规章及文件
'关于印发《大同市文化产业调查实施方案》的通知',大同市人民政府办公厅,2011-12-21,现行有效,地方政府规章及文件
'晋城市人民政府关于加快发展县域主导产业实施专项资金竞争性分配的意见',晋城市人民政府,2011-12-21,现行有效,地方政府规章及文件
'晋城市人民政府办公厅关于加快发展体育产业的实施意见',晋城市人民政府办公厅,2011-12-13,已失效,地方政府规章及文件
'忻州市人民政府办公厅关于转发市发改委《关于贯彻落实全市重点工作观摩会议精神切实做好产业项目建设的意见》的通知',忻州市人民政府办公厅,2011-11-29,现行有效,地方政府规章及文件
'晋城市人民政府办公厅关于印发《2011中国(上海)创意产业博览会晋城代表团工作方案》的通知',晋城市人民政府办公厅,2011-09-30,已失效,地方政府规章及文件
'临汾市人民政府关于加快推进产业园区建设的指导意见',临汾市人民政府,2011-07-04,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于吕梁市煤炭产业产洗一体化的实施意见',吕梁市人民政府办公厅,2011-05-16,现行有效,地方政府规章及文件
'关于进一步做好现代农业产业技术体系建设有关工作的通知',山西省农业厅,2011-04-21,现行有效,地方政府规章及文件
'关于印发《山西省优先发展产业目录》的通知',山西省国土资源厅,2011-03-14,现行有效,地方政府规章及文件
'吕梁市人民政府关于加快全市工艺美术产业发展的意见',吕梁市人民政府,2011-03-10,现行有效,地方政府规章及文件
'忻州市人民政府关于扶持马铃薯脱毒种薯繁育促进产业发展的实施意见',忻州市人民政府,2011-03-07,现行有效,地方政府规章及文件
'太原市人民政府关于加快培育和发展战略性新兴产业的实施意见',太原市人民政府,2011-03-03,现行有效,地方政府规章及文件
'运城市人民政府关于实施标志性产业项目建设规划和中小企业发展规划的意见',运城市人民政府,2011-02-28,现行有效,地方政府规章及文件
'太原市人民政府办公厅转发市科技局《关于加快新兴产业领域企业工程实验室和中试基地（车间）建设意见》的通知',太原市人民政府办公厅,2011-02-23,现行有效,地方政府规章及文件
'晋中市人民政府关于煤层气产业发展的实施意见',晋中市人民政府,2011-01-25,现行有效,地方政府规章及文件
'太原市人民政府办公厅转发市农委《关于加快设施蔬菜产业发展实施意见》的通知',太原市人民政府办公厅,2010-09-15,现行有效,地方政府规章及文件
'大同市人民政府办公厅关于印发《第三届中国（太原）国际能源产业博览会大同代表团工作方案》的通知',大同市人民政府办公厅,2010-08-09,现行有效,地方政府规章及文件
'晋城市人民政府办公厅关于印发《第三届中国(太原)国际能源产业博览会晋城代表团工作方案》的通知',晋城市人民政府办公厅,2010-07-30,现行有效,地方政府规章及文件
'临汾市人民政府印发关于加快旅游产业发展的意见的通知',临汾市人民政府,2010-07-21,现行有效,地方政府规章及文件
'运城市人民政府关于实施标志性产业项目建设规划和中小企业发展规划的意见',运城市人民政府,2010-02-09,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市新型材料产业调整和振兴实施方案的通知',吕梁市人民政府,2010-02-04,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市煤炭产业调整和振兴实施方案的通知',吕梁市人民政府,2010-02-04,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市焦化产业调整和振兴实施的方案的通知',吕梁市人民政府,2010-02-04,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市煤化工产业调整和振兴实施方案的通知',吕梁市人民政府,2010-02-04,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市冶金产业调整和振兴实施方案的通知',吕梁市人民政府,2010-02-04,现行有效,地方政府规章及文件
'吕梁人民政府关于印发吕梁市食品产业调整和振兴实施方案的通知',吕梁市人民政府,2010-02-04,现行有效,地方政府规章及文件
'山西省林业厅关于下达2009年省煤炭可持续发展基金林业产业建设项目投资计划的通知',山西省林业厅,2009-11-10,现行有效,地方政府规章及文件
'关于印发忻州市文化产业发展规划纲要(2009~2015年)的通知',忻州市人民政府办公厅,2009-10-19,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于印发晋中市煤层气产业发展规划编制工作方案的通知',晋中市人民政府办公厅,2009-09-07,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于进一步加快干果产业发展的实施意见',晋中市人民政府办公厅,2009-08-25,现行有效,地方政府规章及文件
'山西省人民政府办公厅关于印发山西省文化产业发展规划纲要(2009—2015年)的通知',山西省人民政府办公厅,2009-06-23,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省新型材料产业调整和振兴规划的通知',山西省人民政府,2009-05-08,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省电力产业调整和振兴规划的通知',山西省人民政府,2009-05-08,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省煤炭产业调整和振兴规划的通知',山西省人民政府,2009-05-08,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省冶金产业调整和振兴规划的通知',山西省人民政府,2009-05-08,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省食品产业调整和振兴规划的通知',山西省人民政府,2009-05-08,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省煤化工产业调整和振兴规划的通知',山西省人民政府,2009-05-08,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省焦化产业调整和振兴规划的通知',山西省人民政府,2009-04-10,现行有效,地方政府规章及文件
'中共运城市委、运城市人民政府关于实施《五个产业集群发展规划》的通知',中共运城市委;运城市人民政府,2009-01-05,现行有效,地方政府规章及文件
'关于转发环保部《关于贯彻落实抑制部分行业产能过剩和重复建设引导产业健康发展的通知》的通知',山西省环境保护厅,2009,现行有效,地方政府规章及文件
'关于实施《山西省忻州市旅游产业发展规划(2007-2015)》的通知',忻州市人民政府办公厅,2008-11-03,现行有效,地方政府规章及文件
'关于全省建立小麦产业技术体系进一步推进科技进村入户工作的意见',山西省农业厅,2008-09-18,现行有效,地方政府规章及文件
'关于印发《第二届中国(太原)国际煤炭与能源新产业博览会食品等卫生监督工作方案》的通知',太原市卫生局,2008-08-20,现行有效,地方政府规章及文件
'关于对《晋西北、太行山革命老区开发产业项目实施考核评价暂行办法》有关意见的函',山西省经济委员会,2008-08-12,现行有效,地方政府规章及文件
'山西省人民政府办公厅转发省发展改革委等部门关于山西省鼓励数字电视产业发展的实施意见的通知',山西省人民政府办公厅,2008-07-14,现行有效,地方政府规章及文件
'山西省地方税务局关于明确太原高新技术产业开发区地方税务局和太原经济技术开发区地方税务局财务管理有关事项的通知',山西省地方税务局,2008-05-27,现行有效,地方政府规章及文件
'转发信息产业部关于公布第二批通过标准符合性认定的通信防雷产品的通告',山西省通信管理局,2008-04-09,现行有效,地方政府规章及文件
'关于转发国家发展改革委《关于印发促进产业集群发展的若干意见的通知》的通知',山西省发展和改革委员会,2007-12-04,现行有效,地方政府规章及文件
'太原市人民政府办公厅转发市文广局关于鼓励和扶持动漫产业发展的意见的通知',太原市人民政府办公厅,2007-11-26,现行有效,地方政府规章及文件
'运城市人民政府关于支持促进文化产业发展的决定',运城市人民政府,2007-11-24,现行有效,地方政府规章及文件
'太原市人民政府办公厅转发市文广局关于支持非公有制经济发展文化产业的意见的通知',太原市人民政府办公厅,2007-11-21,现行有效,地方政府规章及文件
'山西省财政厅、山西省旅游局关于印发《省级旅游产业发展专项资金及项目管理办法》的通知',山西省财政厅;山西省旅游局,2007-11-14,现行有效,地方政府规章及文件
'中共运城市委、运城市人民政府关于认真贯彻落实十七大精神进一步加快我市文化产业大发展的若干意见',中共运城市委;运城市人民政府,2007-11-09,现行有效,地方政府规章及文件
'关于严格执行信息产业部规定对增值电信业务代理收费行为立即进行整改的通知',山西省通信管理局,2007-10-29,现行有效,地方政府规章及文件
'关于加快科技工业园区和特色产业基地建设的实施意见',太原市科学技术局;太原市发展和改革委员会,2007-09-21,现行有效,地方政府规章及文件
'太原市人民政府批转市科技局关于开展产业集群技术联盟试点实施意见的通知',太原市人民政府,2007-05-18,现行有效,地方政府规章及文件
'山西省人民政府办公厅关于印发山西省“十一五”高新技术产业发展规划的通知',山西省人民政府办公厅,2007-03-20,现行有效,地方政府规章及文件
'山西省人民政府办公厅转发省教育厅关于山西省普通高等学校科技产业体制改革的实施方案的通知',山西省人民政府办公厅,2007-01-29,现行有效,地方政府规章及文件
'吕梁市人民政府印发《关于优化经济结构培育优势产业的实施意见》的通知',吕梁市人民政府,2006-11-17,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市“两区”开发暨“双百双千”产业项目建设管理制度的通知',吕梁市人民政府,2006-10-12,现行有效,地方政府规章及文件
'山西省人民政府关于优化产业结构培育优势产业的实施意见',山西省人民政府,2006-10-10,现行有效,地方政府规章及文件
'山西省人民政府办公厅关于贯彻落实《山西省促进旅游产业发展条例》和《山西省旅游条例》的实施意见',山西省人民政府办公厅,2006-09-29,现行有效,地方政府规章及文件
'太原市人民政府批转市经委关于继续开展工业项目推进年活动努力构建省会城市特色工业产业体系实施意见的通知',太原市人民政府,2006-01-19,现行有效,地方政府规章及文件
'山西省人民政府办公厅转发省发展改革委《山西省产业投资指导目录（2006年本）》的通知',山西省人民政府办公厅,2006-01-06,现行有效,地方政府规章及文件
