'河南省促进高新技术产业发展条例',河南省人民代表大会常务委员会,2011-06-13,现行有效,地方性法规及文件
'漯河市人民政府办公室关于对我市产业集聚区内工业项目开工建设土地遗留问题处理意见的通知',漯河市人民政府办公室,2017-01-19,现行有效,地方政府规章及文件
'关于开展大数据产业园区规划建设工作的通知',河南省发展和改革委员会,2017-01-16,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省“十三五”战略性新兴产业发展规划的通知',河南省人民政府办公厅,2017-01-06,现行有效,地方政府规章及文件
'焦作循环经济产业集聚区环境污染综合整治方案',焦作市山阳区人民政府,2017,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于印发平顶山市产业集聚区“一区一主业”集群发展三年行动计划的通知',平顶山市人民政府办公室,2016-12-29,现行有效,地方政府规章及文件
'河南省人民政府关于支持肉牛奶牛产业发展的若干意见',河南省人民政府,2016-12-29,现行有效,地方政府规章及文件
'商城县人民政府办公室关于调整商城县炖菜产业发展领导小组的通知',信阳市商城县人民政府办公室,2016-12-27,现行有效,地方政府规章及文件
'关于开展2016年度河南省产业技术创新战略联盟组建工作的通知',河南省科学技术厅,2016-12-27,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省促进医药产业健康发展实施方案的通知',河南省人民政府办公厅,2016-12-26,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市装备制造产业“十三五”发展指导规划的通知',新乡市人民政府办公室,2016-12-20,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市电子信息产业“十三五”发展指导规划的通知',新乡市人民政府办公室,2016-12-20,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市电池与电动车产业“十三五”发展指导规划的通知',新乡市人民政府办公室,2016-12-20,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市纺织服装产业“十三五”发展指导规划的通知',新乡市人民政府办公室,2016-12-20,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市生物与新医药产业“十三五”发展指导规划的通知',新乡市人民政府办公室,2016-12-20,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于加快新能源汽车产业发展的实施意见',平顶山市人民政府办公室,2016-12-16,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于加快木本油料产业发展的实施意见',商丘市人民政府办公室,2016-12-16,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省高新技术产业开发区管理办法(试行)的通知',河南省人民政府办公厅,2016-12-15,已失效,地方政府规章及文件
'商丘市人民政府办公室关于转发豫政办(2016)189号加强产业集聚区安全生产工作的通知',商丘市人民政府办公室,2016-12-14,现行有效,地方政府规章及文件
'遂平县人民政府办公室关于印发《遂平县产业扶持到户增收项目指导意见》的通知',驻马店市遂平县人民政府办公室,2016-12-08,现行有效,地方政府规章及文件
'焦作市人民政府办公室关于转发豫政办(2016)189号文件加强产业集聚区安全生产工作的通知',焦作市人民政府办公室,2016-11-30,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市推进供给侧结构性改革促进产业转型升级专项行动方案(2016—2018年)的通知',驻马店市人民政府办公室,2016-11-25,现行有效,地方政府规章及文件
'新乡市人民政府关于加快推进建筑产业现代化的实施意见',新乡市人民政府,2016-10-26,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发洛阳市体育产业赛事专项资金使用管理办法的通知',洛阳市人民政府办公室,2016-10-16,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于印发平顶山市电子信息产业三年(2016—2018年)行动计划的通知',平顶山市人民政府办公室,2016-10-09,现行有效,地方政府规章及文件
'焦作市人民政府办公室关于印发焦作市加快木本油料产业发展实施方案的通知',焦作市人民政府办公室,2016-09-27,现行有效,地方政府规章及文件
'焦作市人民政府关于加快金融产业发展的意见',焦作市人民政府,2016-09-08,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发构建现代产业体系促进特色高效农业发展实施方案的通知',洛阳市人民政府办公室,2016-08-31,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发构建现代产业体系促进金融业发展实施方案的通知',洛阳市人民政府办公室,2016-08-31,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发构建现代产业体系促进科技服务业发展实施方案的通知',洛阳市人民政府办公室,2016-08-30,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发构建现代产业体系促进先进装备制造业发展实施方案的通知',洛阳市人民政府办公室,2016-08-18,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发构建现代产业体系促进牡丹产业发展实施方案的通知',洛阳市人民政府办公室,2016-08-17,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发构建现代产业体系促进现代物流业发展实施方案的通知',洛阳市人民政府办公室,2016-08-09,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于印发平顶山市产业结构调整规划的通知',平顶山市人民政府办公室,2016-07-25,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市重点产业2016年度行动计划的通知',驻马店市人民政府办公室,2016-07-05,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发鹤壁市2016年工业重点产业推进方案的通知',鹤壁市人民政府办公室,2016-06-30,现行有效,地方政府规章及文件
'鹤壁市人民政府关于促进住房消费推动房地产业持续健康发展的实施意见',鹤壁市人民政府,2016-06-27,已失效,地方政府规章及文件
'新乡市人民政府办公室关于促进创业投资和产业投资基金发展的意见',新乡市人民政府办公室,2016-06-26,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于印发2016年平顶山市加快产业集聚区建设专项工作方案的通知',平顶山市人民政府办公室,2016-06-22,现行有效,地方政府规章及文件
'平顶山市人民政府关于加快发展体育产业促进体育消费的实施意见',平顶山市人民政府,2016-06-17,现行有效,地方政府规章及文件
'漯河市人民政府关于加快产业集聚区增量提质转型创新发展实施意见',漯河市人民政府,2016-06-13,现行有效,地方政府规章及文件
'南阳市人民政府关于加快发展体育产业促进体育消费的实施意见',南阳市人民政府,2016-06-12,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发鹤壁市2016年服务业重点产业推进方案的通知',鹤壁市人民政府办公室,2016-06-08,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市承接上海产业转移招商实施方案的通知',新乡市人民政府办公室,2016-06-06,已失效,地方政府规章及文件
