'中共甘肃省委办公厅、甘肃省人民政府办公厅关于印发甘肃省“十一五”文化产业发展规划的通知',中共甘肃省委办公厅,2006-07-20,现行有效,团体规定
'甘肃省人民政府办公厅关于加强地理标志品牌和区域公用品牌培育助力产业扶贫的意见',甘肃省人民政府办公厅,2018-11-12,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市加快推进农业供给侧结构性改革大力发展粮食产业经济实施方案的通知',天水市人民政府办公室,2018-11-05,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市养蜂产业发展规划(2018—2020年)的通知',天水市人民政府办公室,2018-10-31,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市清洁能源产业发展专项行动计划(2018—2025年)的通知',平凉市人民政府办公室,2018-10-31,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市绿色煤电产业专项行动计划(2018—2025年)的通知',平凉市人民政府办公室,2018-10-31,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于促进兰州牛肉拉面产业发展的意见',甘肃省人民政府办公厅,2018-10-25,现行有效,地方政府规章及文件
'酒泉市人民政府办公室关于印发《酒泉市培育壮大特色农业产业助推脱贫攻坚实施方案》的通知',酒泉市人民政府办公室,2018-10-22,现行有效,地方政府规章及文件
'酒泉市人民政府办公室关于印发《酒泉市2018年十大生态产业发展“一业一策”工作方案》的通知',酒泉市人民政府办公室,2018-10-22,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市通道物流产业发展专项行动方案的通知',天水市人民政府办公室,2018-10-19,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市节能环保产业专项行动计划的通知',平凉市人民政府办公室,2018-10-16,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市文化旅游产业发展专项行动计划的通知',平凉市人民政府办公室,2018-10-09,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市先进制造产业发展专项行动方案的通知',天水市人民政府办公室,2018-09-30,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市节能环保产业发展专项行动方案的通知',天水市人民政府办公室,2018-09-29,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市清洁能源产业发展专项行动方案的通知',天水市人民政府办公室,2018-09-29,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市数据信息产业发展专项行动方案的通知',天水市人民政府办公室,2018-09-26,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市清洁生产产业发展专项行动方案的通知',天水市人民政府办公室,2018-09-26,现行有效,地方政府规章及文件
'天水市人民政府办公室关于进一步做好特色产业发展工程贷款相关工作的通知',天水市人民政府办公室,2018-09-19,现行有效,地方政府规章及文件
'白银市人民政府办公室关于印发白银市节能环保产业专项行动计划的通知',白银市人民政府办公室,2018-09-19,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市循环农业产业发展专项行动方案的通知',天水市人民政府办公室,2018-09-13,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于经济技术类人才工作助推绿色生态关于经济技术类人才工作助推绿色生态产业发展的实施意见',平凉市人民政府办公室,2018-09-11,现行有效,地方政府规章及文件
'白银市人民政府办公室关于印发《白银市先进制造产业发展专项行动计划》的通知',白银市人民政府办公室,2018-09-07,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市清洁生产产业发展行动计划的通知',平凉市人民政府办公室,2018-09-03,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市装备制造产业专项行动计划的通知',平凉市人民政府办公室,2018-09-03,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市循环农业产业发展专项行动方案的通知',平凉市人民政府办公室,2018-09-02,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于切实做好特色产业发展工程贷款相关工作的通知',平凉市人民政府办公室,2018-08-31,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',甘肃省人民政府办公厅,2018-08-25,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市通道物流产业发展专项行动计划的通知',平凉市人民政府办公室,2018-08-13,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于支持陇药产业发展政策措施的通知',平凉市人民政府办公室,2018-08-03,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于推进农业高新技术产业开发区建设的实施意见',甘肃省人民政府办公厅,2018-08-01,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于加快发展健身休闲产业的实施意见',甘肃省人民政府办公厅,2018-07-31,现行有效,地方政府规章及文件
'酒泉市人民政府办公室关于批转《金融支持全市绿色生态产业发展构建绿色金融体系的指导意见》的通知',酒泉市人民政府办公室,2018-07-17,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市加快陇药产业发展实施意见的通知',天水市人民政府办公室,2018-07-10,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市绿色生态产业发展实施方案的通知',天水市人民政府办公室,2018-07-10,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于经济技术类人才工作助推绿色生态产业发展的指导意见',甘肃省人民政府办公厅,2018-06-19,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省清洁能源产业发展专项行动计划的通知',甘肃省人民政府办公厅,2018-06-07,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省数据信息产业发展专项行动计划的通知',甘肃省人民政府办公厅,2018-06-03,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省清洁生产产业发展专项行动计划的通知',甘肃省人民政府办公厅,2018-06-03,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省循环农业产业发展专项行动计划的通知',甘肃省人民政府办公厅,2018-06-03,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省文化旅游产业发展专项行动计划的通知',甘肃省人民政府办公厅,2018-06-03,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省先进制造产业发展专项行动计划的通知',甘肃省人民政府办公厅,2018-06-03,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省节能环保产业专项行动计划的通知',甘肃省人民政府办公厅,2018-06-02,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省中医中药产业发展专项行动计划的通知',甘肃省人民政府办公厅,2018-06-02,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省通道物流产业发展专项行动计划的通知',甘肃省人民政府办公厅,2018-05-29,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于转发《张掖市2018—2020年特色农业产业助推脱贫攻坚工作实施方案》的通知',张掖市人民政府办公室,2018-05-12,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于进一步做好特色产业发展工程贷款有关工作的通知',甘肃省人民政府办公厅,2018-05-09,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于加快推进全市“331+”肉羊产业发展和金融扶贫工作的意见',庆阳市人民政府办公室,2018-04-11,现行有效,地方政府规章及文件
'张掖市人民政府关于印发张掖市中药材产业发展扶持办法的通知',张掖市人民政府,2018-04-09,现行有效,地方政府规章及文件
'张掖市人民政府关于加快发展环保产业的实施意见',张掖市人民政府,2018-03-05,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于张掖市培育壮大特色农业产业助推脱贫攻坚的实施意见',张掖市人民政府办公室,2018-02-26,现行有效,地方政府规章及文件
'甘肃省人民政府关于印发甘肃省推进绿色生态产业发展规划的通知',甘肃省人民政府,2018-02-14,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于印发张掖市特色产业发展工程贷款实施方案的通知',张掖市人民政府办公室,2018-02-11,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发《甘肃省培育壮大特色农业产业助推脱贫攻坚实施意见》的通知',甘肃省人民政府办公厅,2018-02-05,现行有效,地方政府规章及文件
'天水市人民政府办公室关于大力发展装配式建筑产业集群的实施意见',天水市人民政府办公室,2018-01-25,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省特色产业发展工程贷款实施方案的通知',甘肃省人民政府办公厅,2018-01-12,现行有效,地方政府规章及文件
'甘肃省人民政府关于同意设立张掖、民乐、金昌、玉门4个省级高新技术产业开发区的批复',甘肃省人民政府,2018-01-03,现行有效,地方政府规章及文件
'嘉峪关市构建生态产业体系推动绿色发展崛起的实施意见',嘉峪关市人民政府,2018,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于支持陇药产业发展政策措施的通知',甘肃省人民政府办公厅,2017-12-30,现行有效,地方政府规章及文件
'平凉市人民政府关于加快发展康复辅助器具产业的实施意见',平凉市人民政府,2017-12-25,现行有效,地方政府规章及文件
'嘉峪关市人民政府办公室印发《关于支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施意见》的通知',嘉峪关市人民政府办公室,2017-10-25,现行有效,地方政府规章及文件
'肃省人民政府办公厅关于印发甘肃省产业扶贫专项贷款工程实施意见的通知',甘肃省人民政府办公厅,2017-08-02,现行有效,地方政府规章及文件
'天水市人民政府办公室关于支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施意见',天水市人民政府办公室,2017-07-14,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施意见',庆阳市人民政府办公室,2017-06-14,现行有效,地方政府规章及文件
'甘肃省住房和城乡建设厅关于转发《住房城乡建设部关于印发〈“十三五”装配式建筑行动方案〉〈装配式建筑示范城市管理办法〉〈装配式建筑产业基地管理办法〉的通知》的通知',甘肃省住房和城乡建设厅,2017-06-06,现行有效,地方政府规章及文件
'甘肃省人民政府关于加快发展康复辅助器具产业的实施意见',甘肃省人民政府,2017-06-06,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于印发张掖市“十三五”推进陇药产业发展实施意见的通知',张掖市人民政府办公室,2017-05-17,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于印发庆阳市促进医药产业健康发展实施方案的通知',庆阳市人民政府办公室,2017-03-31,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于成立甘肃省新材料产业发展领导小组的通知',甘肃省人民政府办公厅,2017-03-17,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市“十三五”医药产业发展实施方案的通知',平凉市人民政府办公室,2017-03-09,现行有效,地方政府规章及文件
'嘉峪关市人民政府办公室关于印发《嘉峪关市深入推进富民多元产业发展的实施方案》的通知',嘉峪关市人民政府办公室,2017-02-28,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发《甘肃省省级高新技术产业开发区认定和管理办法》的通知',甘肃省人民政府办公厅,2017-02-20,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施意见',甘肃省人民政府办公厅,2017-02-16,现行有效,地方政府规章及文件
'酒泉市人民政府关于印发《酒泉市“十三五”文化产业发展规划》的通知',酒泉市人民政府,2017-01-25,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于印发张掖市促进医药产业健康发展实施方案的通知',张掖市人民政府办公室,2017-01-19,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于印发张掖市“十三五”文化产业发展规划的通知',张掖市人民政府办公室,2016-12-30,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于推进农村一二三产业融合发展的实施意见',庆阳市人民政府办公室,2016-12-30,现行有效,地方政府规章及文件
'庆阳市人民政府关于大力推广中盛模式加快现代肉羊产业发展的意见',庆阳市人民政府,2016-12-29,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于印发庆阳市战略性新兴产业发展实施意见的通知',庆阳市人民政府办公室,2016-12-28,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于印发张掖市十三五能源产业发展规划的通知',张掖市人民政府办公室,2016-11-21,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于印发张掖市十三五节能环保产业规划的通知',张掖市人民政府办公室,2016-11-21,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市推进农村一二三产业融合发展实施方案的通知',天水市人民政府办公室,2016-10-27,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于加快推进农村一二三产业融合发展的实施意见',平凉市人民政府办公室,2016-10-11,现行有效,地方政府规章及文件
'平凉市人民政府关于加快发展体育产业促进体育消费的实施意见',平凉市人民政府,2016-09-12,现行有效,地方政府规章及文件
'中共甘肃省委、甘肃省人民政府关于加快优势产业链培育发展的指导意见',中共甘肃省委;甘肃省人民政府,2016-07-29,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于印发庆阳市农村产业发展资金专业合作社达标验收工作方案的通知',庆阳市人民政府办公室,2016-06-12,已失效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市2016年战略性新兴产业发展总体攻坚战工作要点的通知',平凉市人民政府办公室,2016-05-27,现行有效,地方政府规章及文件
'平凉市人民政府印发关于进一步支持文化产业发展若干政策的通知',平凉市人民政府,2016-05-03,现行有效,地方政府规章及文件
'张掖市人民政府关于加快推进食用菌产业发展的意见',张掖市人民政府,2016-04-18,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于规范全市农村产业发展资金合作社试点工作的通知',庆阳市人民政府办公室,2016-04-18,现行有效,地方政府规章及文件
'张掖市人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',张掖市人民政府,2016-04-10,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于转发市卫计委等部门《平凉市中医药产业发展先行先试实施方案》的通知',平凉市人民政府办公室,2016-03-31,现行有效,地方政府规章及文件
'庆阳市人民政府关于进一步加快岐黄中医药文化产业发展的意见',庆阳市人民政府,2016-03-10,现行有效,地方政府规章及文件
'酒泉市人民政府关于进一步加快枸杞产业发展的意见',酒泉市人民政府,2016-02-24,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市国家级蔬菜产业园总体规划的通知',平凉市人民政府办公室,2016-01-29,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于印发促进庆阳旅游产业发展奖励扶持办法(试行)的通知',庆阳市人民政府办公室,2016-01-11,现行有效,地方政府规章及文件
'庆阳市人民政府关于加快发展体育产业促进体育消费的实施意见',庆阳市人民政府,2015-12-24,现行有效,地方政府规章及文件
'酒泉市人民政府办公室关于印发酒泉市中医药产业发展先行先试实施意见的通知',酒泉市人民政府办公室,2015-11-13,现行有效,地方政府规章及文件
'平凉市人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',平凉市人民政府,2015-09-06,现行有效,地方政府规章及文件
'嘉峪关市人民政府关于加快发展体育产业促进体育消费的实施意见',嘉峪关市人民政府,2015-08-17,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市中医药产业发展先行先试实施方案的通知',天水市人民政府办公室,2015-07-24,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市贯彻落实甘肃省节能环保产业发展规划(2015-2020年)实施意见的通知',天水市人民政府办公室,2015-07-20,现行有效,地方政府规章及文件
'平凉市人民政府关于促进房地产业持续稳定健康发展的实施意见',平凉市人民政府,2015-06-26,现行有效,地方政府规章及文件
'嘉峪关市人民政府关于印发《嘉峪关市促进房地产业持续稳定健康发展的实施意见》的通知',嘉峪关市人民政府,2015-06-19,现行有效,地方政府规章及文件
'天水市人民政府关于促进房地产业持续稳定健康发展的实施意见',天水市人民政府,2015-06-02,现行有效,地方政府规章及文件
'酒泉市人民政府关于促进房地产业持续稳定健康发展的实施意见',酒泉市人民政府,2015-06-01,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发2015年战略性新兴产业发展总体攻坚战工作方案的通知',天水市人民政府办公室,2015-05-19,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于印发庆阳市实施新一轮退耕还林工程发展富民产业意见的通知',庆阳市人民政府办公室,2015-05-11,现行有效,地方政府规章及文件
'庆阳市人民政府关于加快中药材产业发展的实施意见',庆阳市人民政府,2015-05-06,现行有效,地方政府规章及文件
'庆阳市人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',庆阳市人民政府,2015-05-05,现行有效,地方政府规章及文件
'庆阳市人民政府关于加快电子商务产业发展的实施意见',庆阳市人民政府,2015-03-26,现行有效,地方政府规章及文件
'平凉市人民政府关于加快电子商务产业发展的意见',平凉市人民政府,2014-12-09,现行有效,地方政府规章及文件
'天水市人民政府关于深化流通体制改革加快流通产业发展的实施意见',天水市人民政府,2014-12-05,现行有效,地方政府规章及文件
'天水市人民政府关于加快电子商务产业发展的实施意见',天水市人民政府,2014-12-05,现行有效,地方政府规章及文件
'平凉市人民政府办公室印发关于进一步推进战略性新兴产业发展实施意见的通知',平凉市人民政府办公室,2014-12-02,现行有效,地方政府规章及文件
'天水市人民政府关于贯彻落实甘肃省人民政府加快发展节能环保产业的实施意见',天水市人民政府,2014-05-26,现行有效,地方政府规章及文件
'酒泉市人民政府办公室关于印发酒泉市传统产业集群发展实施方案的通知',酒泉市人民政府办公室,2014-05-06,现行有效,地方政府规章及文件
'酒泉市人民政府办公室关于印发酒泉市煤化工等六个百亿元循环经济产业链实施方案的通知',酒泉市人民政府办公室,2014-04-22,现行有效,地方政府规章及文件
'嘉峪关市人民政府关于深化流通体制改革加快流通产业发展的实施意见',嘉峪关市人民政府,2013-10-31,现行有效,地方政府规章及文件
'酒泉市人民政府办公室关于贯彻落实《甘肃省草食畜牧业和设施蔬菜产业发展贷款贴息管理办法》的实施意见',酒泉市人民政府办公室,2013-09-25,现行有效,地方政府规章及文件
'酒泉市人民政府关于深化流通体制改革加快流通产业发展的实施意见',酒泉市人民政府,2013-09-12,现行有效,地方政府规章及文件
'平凉市人民政府关于加快全市草产业发展的实施意见',平凉市人民政府,2013-01-11,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省产业扶贫专项贷款工程实施方案的通知',甘肃省人民政府办公厅,2016-12-08,现行有效,地方政府规章及文件
'关于甘肃省产业技术创新战略联盟备案有关事项的通知',甘肃省科学技术厅,2016-10-31,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发兰州市设立产业投资基金实施方案的通知',兰州市人民政府办公厅,2016-10-29,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省促进医药产业健康发展实施方案的通知',甘肃省人民政府办公厅,2016-09-28,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发《甘肃省“十三五”陇药产业发展规划》的通知',甘肃省人民政府办公厅,2016-09-05,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省“十三五”文化产业发展规划的通知',甘肃省人民政府办公厅,2016-08-24,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省“十三五”战略性新兴产业发展规划的通知',甘肃省人民政府办公厅,2016-08-09,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于推进农村一二三产业融合发展的实施意见',甘肃省人民政府办公厅,2016-07-26,现行有效,地方政府规章及文件
'兰州市工业和信息化委员会关于印发兰州市战略性新兴产业贷款贴息专项资金暂行管理办法的通知',兰州市工业和信息化委员会,2016-06-13,已失效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发2016年战略性新兴产业发展总体攻坚战工作要点的通知',甘肃省人民政府办公厅,2016-02-06,现行有效,地方政府规章及文件
'关于在甘肃省开展建筑业、房地产业、金融业、生活服务业营业税改征增值税试点的公告',甘肃省财政厅,2016,现行有效,地方政府规章及文件
'兰州新区党政办公室关于印发《兰州新区产业孵化大厦入孵企业管理办法》、《兰州新区产业孵化大厦入孵企业配套政策(试行)》的通知',兰州新区党政办公室,2015-10-15,现行有效,地方政府规章及文件
'兰州市人民政府关于促进房地产业持续稳定健康发展的实施意见',兰州市人民政府,2015-08-07,已失效,地方政府规章及文件
'兰州市人民政府办公厅关于印发兰州智慧城市建设与文化产业发展规划的通知',兰州市人民政府办公厅,2015-07-01,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发兰州广播影视与现代传媒产业发展规划的通知',兰州市人民政府办公厅,2015-07-01,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发兰州演艺娱乐产业发展规划的通知',兰州市人民政府办公厅,2015-06-19,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发兰州文化与养生养老产业发展规划的通知',兰州市人民政府办公厅,2015-06-19,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发兰州生态文化产业发展规划的通知',兰州市人民政府办公厅,2015-06-19,现行有效,地方政府规章及文件
'甘肃省发展和改革委员会、甘肃省财政厅关于印发《甘肃省产业引导股权投资基金管理暂行办法》的通知',甘肃省发展和改革委员会;甘肃省财政厅,2015-06-19,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发全市工业倍增行动计划打造三大千亿七大百亿产业链实施方案的通知',兰州市人民政府办公厅,2015-05-28,现行有效,地方政府规章及文件
'甘肃省人民政府关于促进房地产业持续稳定健康发展的意见',甘肃省人民政府,2015-05-24,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发《促进云计算创新发展培育信息产业新业态的实施方案》的通知',甘肃省人民政府办公厅,2015-03-16,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于转发省卫生计生委等部门《甘肃省中医药产业发展先行先试实施方案》的通知',甘肃省人民政府办公厅,2015-02-04,现行有效,地方政府规章及文件
'兰州市人民政府办公厅印发关于加快推进全市第三产业跨越发展的实施意见的通知',兰州市人民政府办公厅,2015-01-08,已失效,地方政府规章及文件
'甘肃省人民政府关于加快发展生产性服务业促进产业结构调整升级的实施意见',甘肃省人民政府,2014-12-31,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省节能环保产业发展规划(2014—2020年)的通知',甘肃省人民政府办公厅,2014-12-31,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发兰州市发展节能环保产业实施方案的通知',兰州市人民政府办公厅,2014-11-30,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省战略性新兴产业省级财政资金投资管理办法的通知',甘肃省人民政府办公厅,2014-11-03,现行有效,地方政府规章及文件
'甘肃省人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',甘肃省人民政府,2014-10-27,现行有效,地方政府规章及文件
'甘肃省人民政府关于印发战略性新兴产业发展总体攻坚战实施方案的通知',甘肃省人民政府,2014-09-15,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于批转《兰州高新技术产业开发区榆中园区农村集体土地上房屋征收补偿安置办法》的通知',兰州市人民政府办公厅,2014-09-11,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于转发省工信委《嘉峪关千亿级煤电冶加装循环经济产业链实施方案》的通知',甘肃省人民政府办公厅,2014-08-15,已失效,地方政府规章及文件
'转发陇药产业发展协调领导小组《做优做强陇药及养生保健产业实施方案》的通知',甘肃省卫生和计划生育委员会,2014-07-31,现行有效,地方政府规章及文件
'甘肃省人民政府关于加快电子商务产业发展的意见',甘肃省人民政府,2014-07-29,已失效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发《甘肃省旅游业地方标准体系建设规划(2014—2020年)》、《甘肃省特色优势农产品标准体系建设规划(2014—2020年)》、《甘肃省高新技术产业标准体系建设规划(2014—2020年)》的通知',甘肃省人民政府办公厅,2014-06-09,现行有效,地方政府规章及文件
'白银市人民政府关于印发《白银市现代物流发展规划》、《白银市城乡商贸流通体系建设规划》、《白银市再生资源产业发展规划》的通知',白银市人民政府,2014-05-07,现行有效,地方政府规章及文件
'白银市人民政府关于印发《白银市扶持现代物流产业发展指导意见》的通知',白银市人民政府,2014-05-07,现行有效,地方政府规章及文件
'关于印发《做优做强陇药及养生保健产业实施方案》的通知',兰州市陇药产业发展协调领导小组,2014-05-05,现行有效,地方政府规章及文件
'甘肃省人民政府贯彻落实国务院关于加快发展节能环保产业意见的实施意见',甘肃省人民政府,2014-01-30,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅印发甘肃省贯彻落实国务院关于促进光伏产业健康发展若干意见实施方案的通知',甘肃省人民政府办公厅,2013-12-31,已失效,地方政府规章及文件
'甘肃省人民政府办公厅转发省工信委关于《庆阳千亿级循环经济产业链实施方案》的通知',甘肃省人民政府办公厅,2013-12-13,已失效,地方政府规章及文件
'关于促进中医药产业发展的意见',甘肃省发展和改革委员会;甘肃省卫生厅,2013-10-28,现行有效,地方政府规章及文件
'白银市人民政府办公室关于加快草食畜牧业和设施蔬菜产业贴息贷款工作进度的通知',白银市人民政府办公室,2013-09-17,现行有效,地方政府规章及文件
'白银市人民政府关于印发白银市“3+4”产业集群招商引资和民间投资项目土地出让价格优惠政策的通知',白银市人民政府,2013-08-29,现行有效,地方政府规章及文件
'白银市人民政府办公室关于印发《白银市争取2013年全省草食畜牧业和设施蔬菜产业发展贷款贴息专项资金实施方案》的通知',白银市人民政府办公室,2013-07-16,现行有效,地方政府规章及文件
'甘肃省人民政府关于深化流通体制改革加快流通产业发展的实施意见',甘肃省人民政府,2013-07-11,现行有效,地方政府规章及文件
'甘肃省人民政府关于印发市州引入兰州新区产业园区项目管理办法的通知',甘肃省人民政府,2013-05-17,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于加快推进“一县一业”产业对接工作的通知',甘肃省人民政府办公厅,2013-05-14,已失效,地方政府规章及文件
'白银市人民政府关于加快核桃产业发展的意见',白银市人民政府,2013-03-11,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发《甘肃省草产业发展规划(2012—2020年)》的通知',甘肃省人民政府办公厅,2012-11-23,现行有效,地方政府规章及文件
