'陕西省高新技术产业发展条例',陕西省人民代表大会常务委员会,2010-05-27,现行有效,地方性法规及文件
'关于印发《推进六大特色产业板块发展的实施意见》的通知',宝鸡市陇县脱贫攻坚领导小组办公室,2018-01-28,现行有效,地方政府规章及文件
'宝鸡市人民政府关于印发宝鸡市促进中医药产业发展实施意见的通知',宝鸡市人民政府,2018-01-21,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',陕西省人民政府办公厅,2018-01-15,现行有效,地方政府规章及文件
'延安市人民政府关于加快推进苹果产业转型升级建设现代果业强市的实施意见',延安市人民政府,2018-01-02,已失效,地方政府规章及文件
'商洛市人民政府关于印发商洛市食用菌产业发展规划(2017-2021年)的通知',商洛市人民政府,2017-12-28,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于加快食用菌产业发展的实施意见',商洛市人民政府办公室,2017-12-26,现行有效,地方政府规章及文件
'安康市人民政府关于印发安康市旅游产业发展三年行动计划(2017年—2019年)的通知',安康市人民政府,2017-12-11,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于支持合作省(直辖市)社会力量在陕投资兴业参与产业扶贫的若干意见',陕西省人民政府办公厅,2017-11-27,现行有效,地方政府规章及文件
'咸阳市人民政府关于印发《咸阳市做大做强做优茯茶产业实施意见》的通知',咸阳市人民政府,2017-11-27,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于促进医药产业健康发展的实施意见',陕西省人民政府办公厅,2017-10-13,现行有效,地方政府规章及文件
'陇县人民政府关于印发加快第三产业发展的意见',宝鸡市陇县人民政府,2017-09-21,已失效,地方政府规章及文件
'汉中市人民政府办公室关于印发汉中市产业招商引资工作方案的通知',汉中市人民政府办公室,2017-09-14,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于成立商洛市中药产业发展工作领导小组的通知',商洛市人民政府办公室,2017-09-14,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市加快军民融合产业发展2017年行动计划的通知',宝鸡市人民政府办公室,2017-08-22,现行有效,地方政府规章及文件
'铜川市人民政府关于加快发展陶瓷产业的意见',铜川市人民政府,2017-08-21,现行有效,地方政府规章及文件
'铜川市人民政府办公室关于加快发展健身休闲产业的实施意见',铜川市人民政府办公室,2017-08-13,现行有效,地方政府规章及文件
'宝鸡市人民政府关于支持农业产业扶贫信贷担保工作的实施意见',宝鸡市人民政府,2017-08-02,现行有效,地方政府规章及文件
'陕西省人民政府关于加快发展康复辅助器具产业的实施意见',陕西省人民政府,2017-07-27,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于石化产业调结构促转型增效益的实施意见',陕西省人民政府办公厅,2017-07-20,现行有效,地方政府规章及文件
'汉中市人民政府办公室关于印发汉中市产业发展基金管理实施细则的通知',汉中市人民政府办公室,2017-07-18,现行有效,地方政府规章及文件
'宝鸡市人民政府关于进一步加强产业脱贫工作的指导意见',宝鸡市人民政府,2017-07-09,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于推进农村一二三产业融合发展的实施意见',宝鸡市人民政府办公室,2017-06-27,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市中医药产业中长期发展规划的通知',宝鸡市人民政府办公室,2017-06-26,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市机器人产业发展规划(2016—2020年)的通知',宝鸡市人民政府办公室,2017-06-26,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施意见',陕西省人民政府办公厅,2017-06-09,现行有效,地方政府规章及文件
'榆林市人民政府办公室关于加快推进中药材产业发展的意见',榆林市人民政府办公室,2017-06-05,现行有效,地方政府规章及文件
'陕西省教育厅、陕西省扶贫开发办公室关于印发《陕西特色产业高校扶贫培训计划实施方案》的通知',陕西省教育厅;陕西省扶贫开发办公室,2017-05-09,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加快发展健身休闲产业的实施意见',陕西省人民政府办公厅,2017-05-04,现行有效,地方政府规章及文件
'安康市人民政府关于印发《陕西省安康市富硒产业总体规划﹙2016-2020﹚》的通知',安康市人民政府,2017-04-19,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发安康市富硒产业发展2017-2020年行动计划的通知',安康市人民政府办公室,2017-04-18,现行有效,地方政府规章及文件
'延安市人民政府办公室关于印发《延安市产业发展基金管理暂行办法》的通知',延安市人民政府办公室,2017-04-07,已失效,地方政府规章及文件
'安康市人民政府关于印发安康市旅游产业“十三五”发展规划的通知',安康市人民政府,2017-04-06,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于做好2017年中药产业发展工作的通知',商洛市人民政府办公室,2017-03-01,现行有效,地方政府规章及文件
'陇县人民政府关于深化“菜单式”扶贫模式做大做强“双百”产业扶贫基地的实施意见',宝鸡市陇县人民政府,2017-02-27,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发《安康市大数据与云计算产业发展实施方案》的通知',安康市人民政府办公室,2017-02-27,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于推进农村一二三产业融合发展的实施意见',陕西省人民政府办公厅,2017-02-17,现行有效,地方政府规章及文件
'陕西省人民政府关于渭南大荔科技产业园区升级为省级经济技术开发区的批复',陕西省人民政府,2017-02-07,现行有效,地方政府规章及文件
'陕西省环境保护厅关于建议加快陕西再生资源产业园企业督改进度的函',陕西省环境保护厅,2016-12-16,现行有效,地方政府规章及文件
'铜川市人民政府办公室关于推进农村一二三产业融合发展的意见',铜川市人民政府办公室,2016-12-15,现行有效,地方政府规章及文件
'安康市人民政府办公室关于批转《安康市产业发展基金管理实施细则(试行)》的通知',安康市人民政府办公室,2016-12-12,现行有效,地方政府规章及文件
'榆林市人民政府关于促进服务外包产业加快发展的实施意见',榆林市人民政府,2016-11-07,现行有效,地方政府规章及文件
'安康市人民政府办公室关于推进文化创意和设计服务与相关产业融合发展的实施意见',安康市人民政府办公室,2016-10-19,现行有效,地方政府规章及文件
'榆林市人民政府办公室关于印发《榆林市产业发展基金管理办法》的通知',榆林市人民政府办公室,2016-10-09,现行有效,地方政府规章及文件
'宝鸡市人民政府关于印发加快第三产业发展的意见',宝鸡市人民政府,2016-09-18,已失效,地方政府规章及文件
'安康市人民政府办公室关于促进互联网金融产业健康发展的实施意见',安康市人民政府办公室,2016-07-22,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市“十三五”工业及产业集群发展规划的通知',宝鸡市人民政府办公室,2016-07-16,现行有效,地方政府规章及文件
'榆林市人民政府关于推进产业结构调整促进产业转型升级的实施意见',榆林市人民政府,2016-07-05,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发安康市产业发展基金管理办法的通知',安康市人民政府办公室,2016-06-22,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡物流电商产业园产业发展扶持暂行办法的通知',宝鸡市人民政府办公室,2016-03-30,已失效,地方政府规章及文件
'安康市人民政府办公室关于印发安康市产业精准扶贫实施方案的通知',安康市人民政府办公室,2016-01-21,现行有效,地方政府规章及文件
'宝鸡市人民政府关于加快发展体育产业促进体育消费的实施意见',宝鸡市人民政府,2016-01-20,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于加快木本油料产业发展的实施意见',宝鸡市人民政府办公室,2015-10-29,现行有效,地方政府规章及文件
'安康市人民政府关于加快生物医药产业发展的意见',安康市人民政府,2015-04-15,现行有效,地方政府规章及文件
'铜川市人民政府关于印发深化全域旅游合作加快文化旅游产业发展实施方案的通知',铜川市人民政府,2015-02-13,现行有效,地方政府规章及文件
'铜川市人民政府办公室关于印发铜川市财政支持绿色低碳产业暨中小企业股权投入管理办法的通知',铜川市人民政府办公室,2014-10-27,已失效,地方政府规章及文件
'榆林市人民政府办公室关于印发《全市兰炭产业转型升级2014年工作计划》的通知',榆林市人民政府办公室,2014-08-11,现行有效,地方政府规章及文件
'榆林市人民政府关于印发全市深化流通体制改革加快流通产业发展实施方案的通知',榆林市人民政府,2014-07-11,现行有效,地方政府规章及文件
'榆林市人民政府关于加快产业园区建设的意见',榆林市人民政府,2014-06-03,现行有效,地方政府规章及文件
'安康市人民政府关于加快新型材料产业发展的意见',安康市人民政府,2014-05-18,现行有效,地方政府规章及文件
'榆林市人民政府关于加快现代畜牧产业体系建设的意见',榆林市人民政府,2014-03-18,现行有效,地方政府规章及文件
'安康市人民政府关于加快现代生猪产业发展的指导意见',安康市人民政府,2014-03-01,现行有效,地方政府规章及文件
'安康市人民政府关于围绕重点产业加快龙头企业培育的实施意见',安康市人民政府,2014-01-07,现行有效,地方政府规章及文件
'安康市人民政府关于加快文化产业发展的实施意见',安康市人民政府,2013-12-29,现行有效,地方政府规章及文件
'安康市人民政府关于加快富硒茶产业发展的实施意见',安康市人民政府,2013-12-25,现行有效,地方政府规章及文件
'咸阳市人民政府关于实施项目带动战略促进文化产业发展的实施意见',咸阳市人民政府,2013-11-12,现行有效,地方政府规章及文件
'安康市人民政府关于印发《安康市文化产业发展规划(2013-2020)》的通知',安康市人民政府,2013-11-05,现行有效,地方政府规章及文件
'安康市人民政府办公室关于大力发展魔芋产业的实施意见',安康市人民政府办公室,2013-10-09,现行有效,地方政府规章及文件
'榆林市人民政府关于印发榆林市扶持沙棘产业发展实施意见的通知',榆林市人民政府,2013-07-23,现行有效,地方政府规章及文件
'榆林市人民政府关于加快榆林旅游产业发展的意见',榆林市人民政府,2012-12-04,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市“十三五”文化旅游产业融合发展规划的通知',宝鸡市人民政府办公室,2016-07-16,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于印发商洛市村域产业精准扶贫实施方案的通知',商洛市人民政府办公室,2016-10-28,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加快应急产业发展的实施意见',陕西省人民政府办公厅,2016-10-14,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于印发大数据与云计算产业示范工程实施方案的通知',陕西省人民政府办公厅,2016-06-17,现行有效,地方政府规章及文件
'扶风县人民政府关于加快发展体育产业促进体育消费的实施意见',宝鸡市扶风县人民政府,2016-03-13,现行有效,地方政府规章及文件
'洋县人民政府关于印发洋县精准脱贫产业扶持实施办法(试行)的通知',汉中市洋县人民政府,2016-03-10,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于印发《陕西省产业发展基金管理办法》的通知',陕西省人民政府办公厅,2015-12-26,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于促进互联网金融产业健康发展的意见',陕西省人民政府办公厅,2015-12-26,现行有效,地方政府规章及文件
'陕西省人民政府关于进一步改进财政支持产业发展方式的意见',陕西省人民政府,2015-12-26,现行有效,地方政府规章及文件
'洋县人民政府办公室关于印发洋县移民搬迁产业扶持资金使用管理实施细则(试行)的通知',汉中市洋县人民政府办公室,2015-11-23,现行有效,地方政府规章及文件
'陇县人民政府办公室关于印发《陇县鼓励电子商务产业发展扶持暂行办法》的通知',宝鸡市陇县人民政府办公室,2015-11-12,已失效,地方政府规章及文件
'陕西省人民政府关于同意建设凤翔高新技术产业开发区的批复',陕西省人民政府,2015-09-29,现行有效,地方政府规章及文件
'陕西省人民政府关于同意建设蒲城高新技术产业开发区的批复',陕西省人民政府,2015-09-19,现行有效,地方政府规章及文件
'陕西省人民政府关于同意建设富平高新技术产业开发区的批复',陕西省人民政府,2015-07-29,现行有效,地方政府规章及文件
'宝鸡市陈仓区人民政府关于印发《宝鸡市陈仓区产业扶贫项目管理办法》的通知',宝鸡市陈仓区人民政府,2015-07-13,已失效,地方政府规章及文件
'陕西省人民政府办公厅关于进一步推动煤炭产业平稳健康发展的意见',陕西省人民政府办公厅,2015-06-30,现行有效,地方政府规章及文件
'陕西省人民政府关于同意建设三原高新技术产业开发区的批复',陕西省人民政府,2015-06-28,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加快木本油料产业发展的实施意见',陕西省人民政府办公厅,2015-06-15,现行有效,地方政府规章及文件
'陕西省人民政府关于加快发展体育产业促进体育消费的实施意见',陕西省人民政府,2015-05-13,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于认真做好2015年中药产业发展工作的通知',商洛市人民政府办公室,2015-04-28,现行有效,地方政府规章及文件
'陕西省人民政府关于同意铜川市董家河循环经济产业示范园并入陕西铜川经济技术开发区的批复',陕西省人民政府,2015-03-22,现行有效,地方政府规章及文件
'陕西省人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',陕西省人民政府,2015-01-09,现行有效,地方政府规章及文件
'关于下达陕西省2014年巩固退耕还林成果后续产业林业项目第二批建设任务和投资计划的通知',陕西省发展和改革委员会;陕西省财政厅;陕西省林业厅,2014-12-02,现行有效,地方政府规章及文件
'关于下达陕西省2014年巩固退耕还林成果后续产业林业项目建设任务和投资计划的通知',陕西省发展和改革委员会;陕西省财政厅;陕西省林业厅,2014-10-15,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于金融支持战略性新兴产业发展的指导意见',陕西省人民政府办公厅,2014-09-19,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于做好第七届中国西部文化产业博览会筹备工作的通知',商洛市人民政府办公室,2014-08-20,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加快全省茶产业发展的意见',陕西省人民政府办公厅,2014-08-07,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于做好第七届中国西部文化产业博览会筹备工作的通知',陕西省人民政府办公厅,2014-08-02,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于促进地理信息产业发展的意见',陕西省人民政府办公厅,2014-05-18,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于印发省医药产业发展实施方案的通知',陕西省人民政府办公厅,2014-04-29,现行有效,地方政府规章及文件
'陕西省商务厅、陕西省发展和改革委员会、陕西省财政厅关于进一步推进服务外包产业发展的实施意见',陕西省商务厅;陕西省发展和改革委员会;陕西省财政厅,2014-04-28,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于印发深化流通体制改革加快流通产业发展实施意见重点工作部门分工方案的通知',陕西省人民政府办公厅,2013-12-18,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于进一步加快肉牛肉羊产业发展的实施意见',商洛市人民政府办公室,2013-10-09,现行有效,地方政府规章及文件
'商洛市人民政府关于印发商洛市进一步加快现代中药产业发展的意见',商洛市人民政府,2013-09-16,现行有效,地方政府规章及文件
'陕西省人民政府关于实施项目带动战略促进文化产业发展的意见',陕西省人民政府,2013-09-10,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于认真贯彻落实稳定家禽产业发展政策的通知',宝鸡市人民政府办公室,2013-08-26,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于进一步加快肉牛肉羊产业发展的意见',宝鸡市人民政府办公室,2013-08-23,现行有效,地方政府规章及文件
'关于印发2014年度省级高新技术产业发展专项资金项目申报指南的通知',陕西省发展和改革委员会;陕西省财政厅,2013-08-01,现行有效,地方政府规章及文件
'陕西省发展和改革委员会关于大力推进太阳能发电产业加快发展的通知',陕西省发展和改革委员会,2013-07-18,现行有效,地方政府规章及文件
'关于下达陕西省油茶产业发展2013年中央预算内投资计划的通知',陕西省发展和改革委员会;陕西省林业厅,2013-07-10,现行有效,地方政府规章及文件
'陕西省人民政府关于深化流通体制改革加快流通产业发展的实施意见',陕西省人民政府,2013-07-06,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加强战略性新兴产业知识产权工作的意见',陕西省人民政府办公厅,2013-07-05,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于进一步加快肉牛肉羊产业发展的意见',陕西省人民政府办公厅,2013-06-12,现行有效,地方政府规章及文件
'陕西省财政厅关于印发《地方特色产业中小企业发展资金管理实施办法》的通知',陕西省财政厅,2013-05-29,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于稳定家禽产业发展的通知',陕西省人民政府办公厅,2013-05-24,现行有效,地方政府规章及文件
'陕西省人民政府关于贯彻落实国务院节能与新能源汽车产业发展规划的实施意见',陕西省人民政府,2013-05-06,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于进一步加快烟草产业发展的实施意见',宝鸡市人民政府办公室,2013-01-14,现行有效,地方政府规章及文件
'陕西省财政厅关于印发《陕西省省级文化产业发展专项资金管理暂行办法》的通知',陕西省财政厅,2013,现行有效,地方政府规章及文件
'延安市人民政府办公室关于印发《延安市“十二五”文化产业发展规划》的通知',延安市人民政府办公室,2012-12-28,现行有效,地方政府规章及文件
'安康市人民政府办公室关于进一步支持烟草产业发展的意见',安康市人民政府办公室,2012-12-18,现行有效,地方政府规章及文件
'关于办理外商投资鼓励类产业确认有关事项的通知',陕西省发展和改革委员会,2012-12-10,已失效,地方政府规章及文件
'安康市人民政府关于大力发展涉水产业的意见',安康市人民政府,2012-11-20,现行有效,地方政府规章及文件
'关于印发《2013年陕南循环发展和一县一产业项目申报指南》的通知',陕西省发展和改革委员会,2012-10-12,现行有效,地方政府规章及文件
'关于转发《2012年度集成电路产业研究与开发专项资金申报指南》的通知',陕西省发展和改革委员会,2012-10-08,现行有效,地方政府规章及文件
'陇县2012年度巩固退耕还林成果后续产业农民技能培训项目实施方案',宝鸡市陇县果业局,2012-10,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于印发2012年关中—天水经济区承接产业转移洽谈会暨第三届先进制造业与服务业融合博览会参会工作筹备方案的通知',商洛市人民政府办公室,2012-09-19,已失效,地方政府规章及文件
'富县人民政府关于促进煤炭产业促销保产工作的意见',延安市富县人民政府,2012-09-13,现行有效,地方政府规章及文件
'延安市人民政府办公室转发市文化广电新闻出版局关于《延安市参加第六届中国西部文化产业博览会活动方案》的通知',延安市人民政府办公室,2012-08-27,现行有效,地方政府规章及文件
'扶风县人民政府办公室关于印发扶风县土地和房地产业税收一体化管理实施意见的通知',宝鸡市扶风县人民政府办公室,2012-08-22,现行有效,地方政府规章及文件
'延安市人民政府关于实施苹果产业提质增效工程的意见',延安市人民政府,2012-07-27,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于进一步支持烟草产业发展的意见',陕西省人民政府办公厅,2012-06-27,现行有效,地方政府规章及文件
'汉中市人民政府关于印发汉中市文化产业发展2012—2015年规划纲要的通知',汉中市人民政府,2012-06-08,现行有效,地方政府规章及文件
'榆林市人民政府办公室关于做好2012年重大产业项目策划工作的通知',榆林市人民政府办公室,2012-05-28,现行有效,地方政府规章及文件
'咸阳市人民政府关于扶持核桃产业发展的意见',咸阳市人民政府,2012-05-16,现行有效,地方政府规章及文件
'凤县人民政府关于印发凤县农业产业发展扶持政策的通知',宝鸡市凤县人民政府,2012-04-16,现行有效,地方政府规章及文件
'汉中市人民政府关于印发汉中市产业发展专项资金使用管理办法的通知',汉中市人民政府,2012-04-10,现行有效,地方政府规章及文件
'志丹县人民政府关于扶持苹果产业发展的实施意见',延安市志丹县人民政府,2012-04-01,现行有效,地方政府规章及文件
'关于印发《陕西省盐化工产业发展规划》的通知',陕西省发展和改革委员会,2012-03-29,现行有效,地方政府规章及文件
'富县人民政府关于2012年苹果产业开发的安排意见',延安市富县人民政府,2012-03-27,现行有效,地方政府规章及文件
'安康市人民政府关于扶持发展劳动密集型产业的意见',安康市人民政府,2012-03-19,现行有效,地方政府规章及文件
'铜川市人民政府关于支持陶瓷产业发展的意见',铜川市人民政府,2012-03-13,已失效,地方政府规章及文件
'中共凤县县委办公室、凤县人民政府办公室关于印发《凤县文化旅游产业发展扶持办法》的通知',中共宝鸡市凤县县委办公室;宝鸡市凤县人民政府办公室,2012-03-02,现行有效,地方政府规章及文件
'眉县人民政府关于印发眉县滨河文化产业新区土地征用及拆迁补偿办法的通知',宝鸡市眉县人民政府,2012-03-02,现行有效,地方政府规章及文件
'中共凤县县委、凤县人民政府关于印发《关于加快全县旅游产业体系建设的实施意见》的通知',中共宝鸡市凤县县委;宝鸡市凤县人民政府,2012-02-29,现行有效,地方政府规章及文件
'关于印发《2012年陕南循环发展和一县一产业项目申报指南》的通知',陕西省发展和改革委员会,2012-02-21,现行有效,地方政府规章及文件
'陕西省人民政府办公厅转发省发展改革委《关于加快发展生物医药产业意见》的通知',陕西省人民政府办公厅,2012-02-21,现行有效,地方政府规章及文件
'关于印发《2012年度陕西省高新技术产业发展专项资金项目申报指南》的通知',陕西省发展和改革委员会,2012-02-08,现行有效,地方政府规章及文件
'关于印发《2012年度陕西省环保产业产业发展专项资金项目申报指南》的通知',陕西省发展和改革委员会;陕西省财政厅,2012-01-17,现行有效,地方政府规章及文件
'关于印发《2012年陕西省产业引导和结构调整资金项目申报指南》的通知',陕西省发展和改革委员会,2012-01-17,现行有效,地方政府规章及文件
'子长县人民政府办公室关于做好全县文化产业统计监测工作的通知',延安市子长县人民政府办公室,2012-01-12,现行有效,地方政府规章及文件
'转发国家能源局《关于促进低热值煤发电产业健康发展的通知》',陕西省发展和改革委员会,2012-01-09,现行有效,地方政府规章及文件
'陕西省人民政府办公厅印发贯彻落实省政府关于加快培育和发展战略性新兴产业意见重点工作分工方案的通知',陕西省人民政府办公厅,2012-01-04,现行有效,地方政府规章及文件
