'湖南省人民代表大会常务委员会关于批准《长沙高新技术产业开发区条例》的决定',湖南省人民代表大会常务委员会,2014-11-26,现行有效,地方性法规及文件
'湖南省人民政府办公厅关于加快推进产业园区改革和创新发展的实施意见',湖南省人民政府办公厅,2018-03-06,现行有效,地方政府规章及文件
'娄底市人民政府关于建设国家产业转型升级示范区新材料新能源基地的若干意见',娄底市人民政府,2018-02-06,现行有效,地方政府规章及文件
'湖南省人民政府关于加快发展康复辅助器具产业的实施意见',湖南省人民政府,2018-01-25,现行有效,地方政府规章及文件
'资兴市人民政府关于印发《促进五大融合加快发展健康产业实施方案》的通知',资兴市人民政府,2018-01-02,现行有效,地方政府规章及文件
'湘潭市人民政府关于印发《湘潭市装备制造产业发展五年规划(2017—2021年)及三年行动计划(2017—2019年)》的通知',湘潭市人民政府,2017-12-29,现行有效,地方政府规章及文件
'湘潭市人民政府关于印发《湘潭市汽车产业发展五年规划(2017—2021年)及三年行动计划(2017—2019年)》的通知',湘潭市人民政府,2017-12-29,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于支持马栏山视频文创产业园建设发展的若干意见',湖南省人民政府办公厅,2017-12-26,现行有效,地方政府规章及文件
'资阳市人民政府办公室关于印发资阳市推进产业园区创新改革发展工作方案的通知',资阳市人民政府办公室,2017-12-26,现行有效,地方政府规章及文件
'益阳市人民政府关于促进五大融合加快发展健康产业的实施意见',益阳市人民政府,2017-12-10,现行有效,地方政府规章及文件
'益阳市人民政府办公室关于促进医药产业健康发展的实施意见',益阳市人民政府办公室,2017-12-10,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于推进农村一二三产业融合发展的实施意见',湘潭市人民政府办公室,2017-12-03,现行有效,地方政府规章及文件
'汨罗市人民政府关于印发《长沙经开区汨罗产业园招商引资办法》的通知',汨罗市人民政府,2017-11-15,现行有效,地方政府规章及文件
'涟源市人民政府关于印发《娄底高新技术产业开发区财政管理体制实施办法》的通知',涟源市人民政府,2017-10-31,现行有效,地方政府规章及文件
'永兴县人民政府办公室关于印发《永兴县农业综合开发普惠扶持永兴冰糖橙产业发展试点项目实施方案》的通知',郴州市永兴县人民政府办公室,2017-09-27,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于印发《江华瑶族自治县整顿取缔违反法律法规及不符合国家产业政策的粘土砖企业专项行动工作方案》的通知',永州市江华瑶族自治县人民政府办公室,2017-09-18,已失效,地方政府规章及文件
'新宁县人民政府关于实施两个“百千万”工程加快林业特色产业园建设的实施意见',邵阳市新宁县人民政府,2017-08-30,现行有效,地方政府规章及文件
'关于印发《浏阳市烟叶产业精准扶贫实施办法》的通知',浏阳市烤烟生产指导中心,2017-08-16,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省商务厅关于下发《湖南农产品流通产业投资基金管理办法》的通知',湖南省财政厅;湖南省商务厅,2017-08-01,现行有效,地方政府规章及文件
'中共湖南省委办公厅、湖南省人民政府办公厅印发《关于支持贫困地区发展产业扩大就业的若干政策》的通知',中共湖南省委办公厅; 湖南省人民政府办公厅,2017-07-19,已失效,地方政府规章及文件
'湖南省人民政府办公厅关于加快发展健身休闲产业的实施意见',湖南省人民政府办公厅,2017-07-12,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于促进医药产业健康发展的实施意见',湖南省人民政府办公厅,2017-07-04,现行有效,地方政府规章及文件
'邵东县人民政府办公室关于印发《邵东县产业扶贫贷款贴息管理暂行办法》的通知',邵阳市邵东县人民政府办公室,2017-06-07,已失效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《支持湖南健康产业园核心区建设的若干政策措施》的通知',湖南省人民政府办公厅,2017-06-07,现行有效,地方政府规章及文件
'耒阳市人民政府办公室关于印发《耒阳市2017年做优做强湘米产业项目实施方案》的通知',耒阳市人民政府办公室,2017-05-26,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于支持槟榔产业持续健康发展若干政策的意见',湘潭市人民政府办公室,2017-05-18,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省商务厅关于印发《湖南省健康养老服务产业投资基金管理办法》的通知',湖南省财政厅;湖南省商务厅,2017-05-05,现行有效,地方政府规章及文件
'麻阳苗族自治县人民政府办公室关于印发《麻阳苗族自治县特色产业扶贫(种养殖业)实施方案》的通知',怀化市麻阳苗族自治县人民政府办公室,2017-05-04,现行有效,地方政府规章及文件
'郴州市粮油产业(2017-2020)四年行动计划',郴州市粮食局,2017-04-25,现行有效,地方政府规章及文件
'江华瑶族自治县财政局关于转发《湖南省财政厅关于下达2017年湘西地区开发产业发展专项资金的通知》的通知',永州市江华瑶族自治县财政局,2017-04-24,现行有效,地方政府规章及文件
'湘潭市人民政府关于保障产业用地促进产业发展的实施意见',湘潭市人民政府,2017-04-21,现行有效,地方政府规章及文件
'湘潭市人民政府关于支持湖南健康产业园核心区建设若干政策的意见',湘潭市人民政府,2017-04-21,现行有效,地方政府规章及文件
'常宁市人民政府办公室关于印发《常宁市五矿有色金属控股有限公司铜铅锌产业基地及深加工关联企业项目征地拆迁补偿方案》的通知',常宁市人民政府办公室,2017-03-31,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于印发《湘潭市打造“智造谷”培育千亿产业招商引资中介人考核奖励试行办法》的通知',湘潭市人民政府办公室,2017-03-29,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于推进农村一二三产业融合发展的实施意见',湖南省人民政府办公厅,2017-03-29,现行有效,地方政府规章及文件
'汨罗市人民政府办公室关于印发《汨罗市加快第三产业发展的实施意见》的通知',汨罗市人民政府办公室,2017-03-20,现行有效,地方政府规章及文件
'资阳市人民政府关于加快发展体育产业促进体育消费的实施意见',资阳市人民政府,2017-03-17,现行有效,地方政府规章及文件
'资兴市人民政府办公室关于大力推进森林康养产业发展的通知',资兴市人民政府办公室,2017-03-16,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省发展和改革委员会关于印发《湖南省湘西地区开发产业发展专项资金管理办法》的通知',湖南省财政厅;湖南省发展和改革委员会,2017-03-13,现行有效,地方政府规章及文件
'永兴县人民政府办公室关于印发《永兴县关于加强产业扶贫的实施意见(试行)》的通知',郴州市永兴县人民政府办公室,2017-02-26,现行有效,地方政府规章及文件
'新晃侗族自治县人民政府办公室关于印发《新晃侗族自治县现代农业产业发展专项资金奖补暂行办法》的通知',怀化市新晃侗族自治县人民政府办公室,2017-02-08,现行有效,地方政府规章及文件
'隆回县人民政府办公室关于印发《隆回县建筑业和房地产业税收一体化管理办法》的通知',邵阳市隆回县人民政府办公室,2017-01-20,现行有效,地方政府规章及文件
'湖南省人民政府关于促进五大融合加快发展健康产业的意见',湖南省人民政府,2016-12-30,现行有效,地方政府规章及文件
'娄底市人民政府关于支持发展钢铁深加工及汽车零部件产业的若干意见',娄底市人民政府,2016-12-29,已失效,地方政府规章及文件
'娄底市人民政府办公室关于开展光伏产业扶贫工作的指导意见',娄底市人民政府办公室,2016-11-02,现行有效,地方政府规章及文件
'湖南省粮食局、湖南省财政厅关于印发《2017年粮油千亿产业项目专项资金申报指南》的通知',湖南省粮食局;湖南省财政厅,2016-09-30,现行有效,地方政府规章及文件
'涟源市人民政府办公室关于进一步加强建筑业及房地产业税收征收管理工作的通知',涟源市人民政府办公室,2016-09-23,现行有效,地方政府规章及文件
'娄底市人民政府办公室关于加强整顿治理促进烟花爆竹产业安全发展的意见',娄底市人民政府办公室,2016-09-21,现行有效,地方政府规章及文件
'汨罗市人民政府办公室关于印发汨罗市金融产业扶贫(小额信贷)工作实施方案的通知',汨罗市人民政府办公室,2016-08-25,现行有效,地方政府规章及文件
'资阳市人民政府关于推进房地产供给侧结构性改革促进房地产业持续健康发展的实施意见',资阳市人民政府,2016-06-30,已失效,地方政府规章及文件
'娄底市人民政府关于促进健康产业发展的实施意见',娄底市人民政府,2016-05-25,现行有效,地方政府规章及文件
'娄底市人民政府办公室关于印发《娄底市健康产业发展规划(2016-2020年)》的通知',娄底市人民政府办公室,2016-05-25,现行有效,地方政府规章及文件
'关于印发《2016年粮油千亿产业项目专项资金申报指南》的通知',湖南省财政厅;湖南省粮食局,2016-03-17,现行有效,地方政府规章及文件
'关于印发《湖南省新兴产业发展基金受托管理机构招募和管理办法》的通知',湖南省财政厅,2015-12-22,现行有效,地方政府规章及文件
'中共常德市委办公室、常德市人民政府办公室关于印发《常德市旅游战略性产业三年攻坚行动方案》的通知',中共常德市委办公室;常德市人民政府办公室,2015-11-30,现行有效,地方政府规章及文件
'邵阳市人民政府关于加快油茶产业发展的实施意见',邵阳市人民政府,2015-09-14,现行有效,地方政府规章及文件
'娄底市人民政府关于促进移动互联网产业发展的实施意见',娄底市人民政府,2015-08-07,已失效,地方政府规章及文件
'湘潭市人民政府办公室关于鼓励移动互联网和集成电路产业发展的若干意见',湘潭市人民政府办公室,2015-07-31,已失效,地方政府规章及文件
'怀化市人民政府办公室关于印发《怀化市推进产业园区发展专项资金管理办法》的通知',怀化市人民政府办公室,2015-07-27,现行有效,地方政府规章及文件
'邵阳市人民政府关于推进旅游产业快速发展的实施意见',邵阳市人民政府,2015-07-17,现行有效,地方政府规章及文件
'永州市人民政府关于进一步加快油茶产业发展努力建设油茶强市的意见',永州市人民政府,2015-01-23,现行有效,地方政府规章及文件
'中共常德市委、常德市人民政府关于加快推进桃花源文化旅游产业发展的若干意见',中共常德市委;常德市人民政府,2015,现行有效,地方政府规章及文件
'常德市人民政府办公室关于加快茶叶产业发展的意见',常德市人民政府办公室,2015,现行有效,地方政府规章及文件
'娄底市人民政府关于促进房地产业可持续发展的意见',娄底市人民政府,2014-12-31,已失效,地方政府规章及文件
'永州市人民政府关于发展茶叶产业的意见',永州市人民政府,2014-12-29,现行有效,地方政府规章及文件
'益阳市人民政府办公室关于印发《益阳市支持服务外包电子商务产业发展若干规定》的通知',益阳市人民政府办公室,2014-12-25,已失效,地方政府规章及文件
'怀化市财政局、中共怀化市委宣传部关于印发《怀化市市本级产业文化引导资金管理办法》的通知',怀化市财政局;中共怀化市委宣传部,2014-05-26,现行有效,地方政府规章及文件
'资阳市人民政府办公室关于加快发展现代水产业的通知',资阳市人民政府办公室,2014-04-28,现行有效,地方政府规章及文件
'邵阳市人民政府关于加快推进风电产业发展的意见',邵阳市人民政府,2013-11-19,现行有效,地方政府规章及文件
'永州市人民政府关于加快建设千亿矿产业经济集群的意见',永州市人民政府,2013-08-14,现行有效,地方政府规章及文件
'常德市政府关于印发《常德市文化产业发展规划(2013-2017年)》的通知',常德市人民政府,2013-06-25,现行有效,地方政府规章及文件
'常德市人民政府关于印发《常德市文化产业发展规划(2013-2017年)》的通知',常德市人民政府,2013-06-25,现行有效,地方政府规章及文件
'永州市人民政府办公室关于印发《永州市“十二五”高新技术产业发展和自主创新能力建设规划》的通知',永州市人民政府办公室,2013-01-05,现行有效,地方政府规章及文件
'邵阳市人民政府关于实施粮油深加工及物流百亿产业工程的意见',邵阳市人民政府,2012-07-30,现行有效,地方政府规章及文件
'常德市人民政府关于实施粮油深加工及物流产业工程的意见',常德市人民政府,2012,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府关于2017-2018年油茶产业发展的实施意见',永州市江华瑶族自治县人民政府,2016-11-01,现行有效,地方政府规章及文件
'湘阴县人民政府关于印发《湘阴县大力发展电商产业加快培育经济新增长点实施意见》的通知',岳阳市湘阴县人民政府,2016-09-30,现行有效,地方政府规章及文件
'新晃侗族自治县人民政府办公室关于印发《新晃侗族自治县黄牛文化产业园经营扶持暂行办法》的通知',怀化市新晃侗族自治县人民政府办公室,2016-09-20,现行有效,地方政府规章及文件
'湘阴县人民政府办公室关于印发《湘阴县金融产业扶贫工作实施方案》的通知',岳阳市湘阴县人民政府办公室,2016-09-06,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省加快推进产业园区转型升级的实施方案(2016-2018年)》的通知',湖南省人民政府办公厅,2016-07-04,现行有效,地方政府规章及文件
'双峰县人民政府关于印发《双峰县促进电动汽车产业发展的若干政策规定》的通知',娄底市双峰县人民政府,2016-07-04,现行有效,地方政府规章及文件
'宁远县人民政府办公室关于印发《宁远县新型农业经营主体产业扶贫试点工作实施方案》的通知',永州市宁远县人民政府办公室,2016-06-06,现行有效,地方政府规章及文件
'溆浦县人民政府关于加快柑桔产业发展的意见',怀化市溆浦县人民政府,2016-05-23,现行有效,地方政府规章及文件
'中共岳阳市云溪区委办公室、岳阳市云溪区人民政府办公室关于印发岳阳市云溪区2016年重点产业和重点企业帮扶行动方案的通知',中共岳阳市云溪区委办公室;岳阳市云溪区人民政府办公室,2016-05-19,现行有效,地方政府规章及文件
'辰溪县人民政府办公室关于印发《辰溪县工业集中区和生态产业园基础设施建设财政资金使用管理暂行办法》的通知',怀化市辰溪县人民政府办公室,2016-04-11,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发加快轨道交通装备产业发展若干政策措施的通知',湖南省人民政府办公厅,2016-04-07,现行有效,地方政府规章及文件
'中共湘阴县委办公室、湘阴县人民政府办公室关于进一步促进产业园区发展的意见',中共岳阳市湘阴县委办公室;岳阳市湘阴县人民政府办公室,2016-04-01,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于整合专项资金支持环境治理促进产业发展的通知',湖南省人民政府办公厅,2016-03-22,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于加强整顿治理促进烟花爆竹产业安全发展的意见',湖南省人民政府办公厅,2016-03-18,现行有效,地方政府规章及文件
'湖南省人民政府办公厅印发《关于支持加快民族地区产业园区建设发展的若干政策》的通知',湖南省人民政府办公厅,2016-03-08,现行有效,地方政府规章及文件
'澧县人民政府办公室关于印发《澧县金融产业扶贫贷款管理办法(试行)》的通知',常德市澧县人民政府办公室,2016-03-03,现行有效,地方政府规章及文件
'中共湘阴县委办公室、湘阴县人民政府办公室关于印发《湘阴县2016年“重大项目会战年”活动暨联手帮促重点企业重点工程及重点产业行动方案》的通知',中共岳阳市湘阴县委办公室;岳阳市湘阴县人民政府办公室,2016-01-20,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省战略性新兴产业与新型工业化专项资金管理办法》的通知',湖南省人民政府办公厅,2016-01-07,现行有效,地方政府规章及文件
'双峰县人民政府关于扶持永丰辣酱产业发展的意见',娄底市双峰县人民政府,2015-12-22,现行有效,地方政府规章及文件
'湖南省人民政府关于加快新材料产业发展的意见',湖南省人民政府,2015-12-12,现行有效,地方政府规章及文件
'汝城县人民政府办公室关于印发《汝城县金融产业扶贫试点工作实施方案》的通知',郴州市汝城县人民政府办公室,2015-12-09,现行有效,地方政府规章及文件
'双峰县人民政府关于促进房地产业可持续发展的意见',娄底市双峰县人民政府,2015-11-20,现行有效,地方政府规章及文件
'益阳市资阳区人民政府办公室关于印发《资阳区产业发展引导基金管理细则》的通知',益阳市资阳区人民政府办公室,2015-11-13,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省新兴产业发展基金管理办法(试行)》的通知',湖南省人民政府办公厅,2015-10-30,现行有效,地方政府规章及文件
'辰溪县人民政府关于进一步加快生猪产业发展的意见',怀化市辰溪县人民政府,2015-10-25,已失效,地方政府规章及文件
'宁远县人民政府办公室关于印发《宁远县发展文化旅游产业重点县专项资金管理暂行办法》的通知',永州市宁远县人民政府办公室,2015-10-19,现行有效,地方政府规章及文件
'岳阳市云溪区人民政府办公室关于印发湖南岳阳绿色化工产业园项目准入评审暂行办法的通知',岳阳市云溪区人民政府办公室,2015-10-15,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于劳动密集型企业和产业园区企业吸纳大龄人员就业社会保险缴费试点的通知',湖南省人民政府办公厅,2015-10-10,现行有效,地方政府规章及文件
'关于转发《国家火炬特色产业基地建设管理办法》的通知',湖南省科学技术厅,2015-10-09,现行有效,地方政府规章及文件
'湖南省人民政府关于加快发展体育产业促进体育消费的实施意见',湖南省人民政府,2015-10-08,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于印发《江华县金融产业扶贫试点工作实施细则》的通知',永州市江华瑶族自治县人民政府办公室,2015-09-30,现行有效,地方政府规章及文件
'重庆市涪陵区武陵山乡人民政府关于印发武陵山乡推动旅游产业集群发展实施意见的通知',重庆市涪陵区武陵山乡人民政府,2015-09-28,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于印发《江华瑶族自治县金融产业扶贫工作实施方案》的通知',永州市江华瑶族自治县人民政府办公室,2015-09-25,已失效,地方政府规章及文件
'湖南省财政厅、湖南省经济和信息化委员会关于印发《湖南省军民融合产业发展专项资金管理办法》的通知',湖南省财政厅;湖南省经济和信息化委员会,2015-09-21,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省商务厅关于印发《湖南省流通产业发展专项资金管理办法》的通知',湖南省财政厅;湖南省商务厅,2015-09-16,现行有效,地方政府规章及文件
'岳阳市云溪区人民政府关于加强岳阳市静脉产业园用地范围管理的通告',岳阳市云溪区人民政府,2015-09-15,现行有效,地方政府规章及文件
'湖南省人民政府办公厅印发《关于进一步支持湘南承接产业转移示范区建设的若干政策措施》的通知',湖南省人民政府办公厅,2015-09-07,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省经济和信息化委员会关于印发《湖南省信息产业和信息化专项资金管理办法》的通知',湖南省财政厅;湖南省经济和信息化委员会,2015-09-07,现行有效,地方政府规章及文件
'蓝山县人民政府关于加强现代农业茶叶综合产业园建设的实施意见',永州市蓝山县人民政府,2015-07-30,现行有效,地方政府规章及文件
'江永县人民政府关于进一步推动油茶产业发展建设油茶强县的意见',永州市江永县人民政府,2015-07-29,现行有效,地方政府规章及文件
'双峰县人民政府办公室关于印发《双峰县金融产业扶贫试点工作实施方案》的通知',娄底市双峰县人民政府办公室,2015-07-09,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于进一步促进房地产业平稳健康发展的意见',湘潭市人民政府办公室,2015-07-07,已失效,地方政府规章及文件
'辰溪县人民政府办公室关于印发《辰溪县金融产业扶贫贷款贴息资金管理办法》的通知',怀化市辰溪县人民政府办公室,2015-07-06,现行有效,地方政府规章及文件
'辰溪县人民政府办公室关于印发《辰溪县金融产业扶贫风险补偿资金管理办法》的通知',怀化市辰溪县人民政府办公室,2015-07-06,现行有效,地方政府规章及文件
'辰溪县人民政府办公室关于印发《辰溪县金融产业扶贫整体推进工作实施细则》的通知',怀化市辰溪县人民政府办公室,2015-07-06,现行有效,地方政府规章及文件
'湖南省人民政府关于加快发展服务外包产业的实施意见',湖南省人民政府,2015-06-05,现行有效,地方政府规章及文件
'湖南省人民政府关于加快环保产业发展的意见',湖南省人民政府,2015-05-13,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于加强产业发展扶持资金管理的意见',湘潭市人民政府办公室,2015-05-11,已失效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省加快环保产业发展实施细则》的通知',湖南省人民政府办公厅,2015-05-06,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于印发《关于加快茶叶产业发展的实施意见》的通知',永州市江华瑶族自治县人民政府办公室,2015-04-26,已失效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省集成电路产业发展规划》(2015-2020年)的通知',湖南省人民政府办公厅,2015-04-22,现行有效,地方政府规章及文件
'宁远县人民政府办公室关于印发《宁远县金融产业扶贫试点工作实施细则》、《金融产业扶贫风险补偿资金管理办法》和《宁远县金融产业扶贫贷款贴息管理办法》的通知',永州市宁远县人民政府办公室,2015-04-12,现行有效,地方政府规章及文件
'乐至县人民政府办公室关于加快川中黑山羊(乐至型)产业发展的意见',资阳市乐至县人民政府办公室,2015-04-06,现行有效,地方政府规章及文件
'关于印发《江华瑶族自治县高新技术矿冶循环经济产业园关于落实领导干部带队检查安全生产工作制度的实施意见》的通知',永州市江华瑶族自治县高新技术矿冶循环经济产业园管理委员会办公室,2015-04-03,现行有效,地方政府规章及文件
'湖南省人民政府办公厅转发省经信委《关于鼓励集成电路产业发展的若干政策》的通知',湖南省人民政府办公厅,2015-03-18,现行有效,地方政府规章及文件
'湖南省财政厅关于印发《湖南省传统产业研发及技改专项资金管理办法》的通知',湖南省财政厅,2015-03-16,现行有效,地方政府规章及文件
'中共湘阴县委办公室、湘阴县人民政府办公室关于印发《湘阴县2015年“项目攻坚年”活动暨联手帮促重点企业重点工程及重点产业工作方案》的通知',中共岳阳市湘阴县委办公室;岳阳市湘阴县人民政府办公室,2015-03-03,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于进一步推动油茶产业发展的意见',湖南省人民政府办公厅,2015-02-09,现行有效,地方政府规章及文件
'永兴县人民政府关于印发《永兴县加快科技创新驱动产业转型发展的若干规定》的通知',郴州市永兴县人民政府,2015-02-06,现行有效,地方政府规章及文件
'湖南省经济和信息化委员会关于进一步加强产业园区工业经济运行监测协调工作的意见',湖南省经济和信息化委员会,2015-02-05,现行有效,地方政府规章及文件
'关于印发《湖南省移动互联网产业统计报表制度》的通知',湖南省经济和信息化委员会;湖南省移动互联网产业发展联席会议办公室,2015-02-04,现行有效,地方政府规章及文件
'江永县人民政府关于印发《江永县金融产业扶贫试点工作实施细则》的通知',永州市江永县人民政府,2015-02-03,现行有效,地方政府规章及文件
'郴州市财政局、郴州市经济和信息化委员会关于印发《郴州市市本级工业产业引导资金管理暂行办法》的通知',郴州市财政局;郴州市经济和信息化委员会,2015-01-26,现行有效,地方政府规章及文件
'涟源市人民政府办公室关于印发《涟源市金融产业扶贫试点工作实施方案》的通知',涟源市人民政府办公室,2015-01-21,现行有效,地方政府规章及文件
'洞口县人民政府办公室关于印发《洞口县金融产业扶贫试点工作实施细则》的通知',邵阳市洞口县人民政府办公室,2014-12-30,现行有效,地方政府规章及文件
'冷水江市人民政府关于支持全市房地产业平稳健康发展的若干意见',冷水江市人民政府,2014-12-19,已失效,地方政府规章及文件
'永顺县人民政府办公室关于印发《永顺县加快新型墙体材料产业发展的意见》的通知',湘西土家族苗族自治州永顺县人民政府办公室,2014-12-15,现行有效,地方政府规章及文件
'关于加快科技创新驱动产业转型发展的实施意见',郴州市嘉禾县人民政府,2014-12-11,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省移动互联网产业发展规划》(2014-2018年)的通知',湖南省人民政府办公厅,2014-12-01,现行有效,地方政府规章及文件
