'长沙高新技术产业开发区条例',长沙市人民代表大会常务委员会,2014-12-01,现行有效,地方性法规及文件
'省经信委关于印发《湖北省支柱产业细分领域隐形冠军企业培育工程实施方案》的通知',湖北省经济和信息化委员会,2017-08-15,现行有效,地方政府规章及文件
'市人民政府关于加快推动大健康产业发展的若干意见',咸宁市人民政府,2017-08-04,现行有效,地方政府规章及文件
'市人民政府办公厅关于加快推进农村一二三产业融合发展的实施意见',武汉市人民政府办公厅,2017-07-29,现行有效,地方政府规章及文件
'省人民政府办公厅关于印发湖北省推进广告产业发展行动计划(2017—2020年)的通知',湖北省人民政府办公厅,2017-07-25,现行有效,地方政府规章及文件
'荆州市人民政府办公室关于印发荆州市产业基金管理暂行办法的通知',荆州市人民政府办公室,2017-07-24,现行有效,地方政府规章及文件
'省人力资源和社会保障厅关于印发《湖北省省级人力资源服务产业园评估认定暂行办法》的通知',湖北省人力资源和社会保障厅,2017-05-15,现行有效,地方政府规章及文件
'省人民政府办公厅关于加快发展康复辅助器具产业的实施意见',湖北省人民政府办公厅,2017-05-11,现行有效,地方政府规章及文件
'省食品药品监督管理局关于加强服务中国(湖北)自贸区食品医药产业发展的通知',湖北省食品药品监督管理局,2017-05-10,现行有效,地方政府规章及文件
'省人民政府办公厅关于加快健身休闲产业发展的实施意见',湖北省人民政府办公厅,2017-04-30,现行有效,地方政府规章及文件
'鄂州市加快推进传统产业改造升级实施方案',鄂州市人民政府办公室,2017-04-20,现行有效,地方政府规章及文件
'市人民政府关于印发深入推进标准化建设引领黄石产业转型升级的实施意见的通知',黄石市人民政府,2017-03-31,现行有效,地方政府规章及文件
'市人民政府办公室印发关于加强招商引资促进新兴产业发展年度工作方案的通知',鄂州市人民政府办公室,2017-03-21,现行有效,地方政府规章及文件
'市人民政府办公室关于大力发展机器人及智能输送成套装备产业的指导意见',黄石市人民政府办公室,2017-02-28,现行有效,地方政府规章及文件
'市人民政府办公室关于加快生物医药产业发展的指导意见',黄石市人民政府办公室,2017-02-28,现行有效,地方政府规章及文件
'湖北省人民政府办公厅关于推进农村一二三产业融合发展的实施意见',湖北省人民政府办公厅,2017-01-19,现行有效,地方政府规章及文件
'省经信委关于印发湖北省医药产业“十三五”发展指导意见的通知',湖北省经济和信息化委员会,2017-01-09,现行有效,地方政府规章及文件
'省人民政府关于加快推进传统产业改造升级的若干意见',湖北省人民政府,2016-12-31,现行有效,地方政府规章及文件
'市人民政府关于印发武汉市文化产业发展“十三五”规划的通知',武汉市人民政府,2016-12-31,现行有效,地方政府规章及文件
'省人民政府办公厅关于促进医药产业健康发展的实施意见',湖北省人民政府办公厅,2016-12-25,现行有效,地方政府规章及文件
'市人民政府关于印发十堰市蔬菜产业“十三五”发展规划纲要的通知',十堰市人民政府,2016-12-16,现行有效,地方政府规章及文件
'市人民政府办公室关于加快黄石模具制造产业转型升级发展的实施意见',黄石市人民政府办公室,2016-11-15,现行有效,地方政府规章及文件
'市人民政府办公室关于加快黄石模具钢产业转型升级绿色发展的意见',黄石市人民政府办公室,2016-11-15,现行有效,地方政府规章及文件
'省人民政府办公厅关于促进全省石化产业转型升级绿色发展的实施方案',湖北省人民政府办公厅,2016-11-04,现行有效,地方政府规章及文件
'市人民政府关于加快发展体育产业促进体育消费的实施意见',鄂州市人民政府,2016-09-19,现行有效,地方政府规章及文件
'恩施州人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',恩施土家族苗族自治州人民政府,2016-09-18,现行有效,地方政府规章及文件
'省人民政府办公厅关于加快促进云计算创新发展培育信息产业新业态的实施意见',湖北省人民政府办公厅,2016-08-27,现行有效,地方政府规章及文件
'市人民政府办公室关于加快应急产业发展的意见',随州市人民政府办公室,2016-08-09,现行有效,地方政府规章及文件
'市人民政府关于加快推进咸宁市幕阜山绿色产业带建设的实施意见',咸宁市人民政府,2016-08-08,现行有效,地方政府规章及文件
'省人民政府办公厅关于加快应急产业发展的实施意见',湖北省人民政府办公厅,2016-08-04,现行有效,地方政府规章及文件
'市人民政府办公室关于印发咸宁市香城产业基金政府出资管理办法的通知',咸宁市人民政府办公室,2016-06-07,现行有效,地方政府规章及文件
'市人民政府办公室关于印发咸宁市香城产业基金管理办法的通知',咸宁市人民政府办公室,2016-06-07,现行有效,地方政府规章及文件
'市人民政府关于大力实施“61”产业强农计划深入推进农业产业化经营的意见',十堰市人民政府,2016-06-07,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于第三方检验检测和认证产业发展的意见',长沙市人民政府办公厅,2016-05-17,已失效,地方政府规章及文件
'省人民政府办公厅关于印发湖北省水稻产业提升计划(2016-2020年)的通知',湖北省人民政府办公厅,2016-04-27,现行有效,地方政府规章及文件
'长沙市人民政府关于进一步加快国家级长沙天心文化产业示范园发展的实施意见',长沙市人民政府,2016-04-20,现行有效,地方政府规章及文件
'省人民政府办公厅关于印发《湖北省长江经济带产业基金管理办法》《湖北省长江经济带产业基金政府出资管理办法》的通知',湖北省人民政府办公厅,2016-03-31,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于支持互联网移动生活服务产业发展的若干意见',长沙市人民政府办公厅,2016-03-29,已失效,地方政府规章及文件
'恩施州人民政府关于加快发展体育产业促进体育消费的实施意见',恩施土家族苗族自治州人民政府,2016,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于印发《长沙市产业投资基金管理办法》的通知',长沙市人民政府办公厅,2015-12-18,现行有效,地方政府规章及文件
'省局印发《关于促进创业创新服务食品医药产业发展的意见的通知',湖北省食品药品监督管理局,2015-09-29,现行有效,地方政府规章及文件
'市人民政府关于印发随州市推进文化创意和设计服务与相关产业融合发展实施方案的通知',随州市人民政府,2015-08-14,现行有效,地方政府规章及文件
'咸宁市人民政府关于加快发展养老服务业培养大健康产业的实施意见',咸宁市人民政府,2015-06-08,现行有效,地方政府规章及文件
'市人民政府关于加快能源产业发展的实施意见',随州市人民政府,2015-05-14,现行有效,地方政府规章及文件
'市人民政府关于加快发展智能机电、互联网等绿色新产业的若干意见',咸宁市人民政府,2015-05-04,已失效,地方政府规章及文件
'市人民政府办公室关于加快信息产业发展促进信息消费的实施意见',鄂州市人民政府办公室,2014-11-29,现行有效,地方政府规章及文件
'省经信委关于印发《湖北省推动工业机器人产业发展实施意见》的通知',湖北省经济和信息化委员会,2014-07-07,现行有效,地方政府规章及文件
'市人民政府办公室关于进一步加强化工产业安全环保工作的通知',仙桃市人民政府办公室,2014-04-23,现行有效,地方政府规章及文件
'湖北省经信委关于印发《做大做实做强湖北白酒产业行动计划》的通知',湖北省经济和信息化委员会,2014-04-01,现行有效,地方政府规章及文件
'省经信委关于印发《加快全省智能制造装备产业发展行动方案》的通知',湖北省经济和信息化委员会,2014-03-26,现行有效,地方政府规章及文件
'市人民政府关于加快建设多层次资本市场推动产业转型升级的实施意见',随州市人民政府,2014-02-28,现行有效,地方政府规章及文件
'市人民政府办公室关于加强产业招商工作的意见',仙桃市人民政府办公室,2014-02-17,现行有效,地方政府规章及文件
'市人民政府关于加快电子商务产业发展的意见',鄂州市人民政府,2014-01-05,现行有效,地方政府规章及文件
'市人民政府办公室关于印发鄂州市生物医药产业倍增行动方案(2013－2017年)的通知',鄂州市人民政府办公室,2013-12-07,现行有效,地方政府规章及文件
'市人民政府关于加快发展节能环保产业的实施意见',鄂州市人民政府,2013-11-16,现行有效,地方政府规章及文件
'市人民政府关于印发咸宁市高新技术产业发展工程实施方案(2013—2017年)的通知',咸宁市人民政府,2013-11-06,现行有效,地方政府规章及文件
'市人民政府办公室关于扶持水晶产业发展优惠政策的补充通知',宜城市人民政府办公室,2013-09-12,现行有效,地方政府规章及文件
'市人民政府关于印发《宜城市扶持水晶产业发展十条优惠政策》的通知',宜城市人民政府,2013-09-04,现行有效,地方政府规章及文件
'市人民政府关于加快推进茶产业发展的意见',咸宁市人民政府,2013-07-23,现行有效,地方政府规章及文件
'州人民政府关于印发《恩施州武陵山少数民族经济社会发展试验区产业发展基金使用管理实施细则》的通知',恩施土家族苗族自治州人民政府,2013-01-22,现行有效,地方政府规章及文件
'市人民政府办公室关于印发咸宁市重大产业发展基金实施办法的通知',咸宁市人民政府办公室,2012-10-30,现行有效,地方政府规章及文件
'关于印发《湖北省战略性新兴产业知识产权工作重点分工方案》的通知',湖北省知识产权局,2012-07-23,现行有效,地方政府规章及文件
'市人民政府办公室转发市农业局关于《宜城市双低油菜产业发展实施方案(2011-2015)》的通知',宜城市人民政府办公室,2011-04-29,现行有效,地方政府规章及文件
'州人民政府办公室转发州科技局制定的《恩施州特色优势产业科技支撑行动计划》的通知',恩施土家族苗族自治州人民政府办公室,2010-01-12,现行有效,地方政府规章及文件
'市农委办公室关于印发《2016年全市种子产业建设工作实施方案》的通知',武汉市农业委员会办公室,2016-12-01,现行有效,地方政府规章及文件
'市农委关于印发《2016年武汉市移民经济产业发展建设实施方案》的通知',武汉市农业委员会,2016-11-29,现行有效,地方政府规章及文件
'市人民政府关于印发武汉市战略性新兴产业发展引导基金管理办法的通知',武汉市人民政府,2016-11-11,现行有效,地方政府规章及文件
'省人民政府办公厅关于促进加工贸易创新发展加快承接产业转移的实施意见',湖北省人民政府办公厅,2016-08-08,现行有效,地方政府规章及文件
'省人民政府办公厅关于促进加工贸易创新发展加快承接产业转移的实施意见',湖北省人民政府办公厅,2016-08-08,现行有效,地方政府规章及文件
'市人民政府办公厅关于印发长江航运产业研究中心组建工作方案的通知',武汉市人民政府办公厅,2016-07-19,现行有效,地方政府规章及文件
'长沙市人民政府关于创新城市建设和产业发展融资方式的实施意见',长沙市人民政府,2015-08-26,现行有效,地方政府规章及文件
'市经信委、市财政局关于印发市经信委战略性新兴产业发展引导基金实施办法(试行)的通知',武汉市经济和信息化委员会;武汉市财政局,2015-05-21,已失效,地方政府规章及文件
'长沙市人民政府办公厅关于加快节能服务产业发展的实施意见',长沙市人民政府办公厅,2015-03-10,现行有效,地方政府规章及文件
'省农业厅关于加快湖北省玉米产业发展的指导意见',湖北省农业厅,2015-03-05,现行有效,地方政府规章及文件
'省人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',湖北省人民政府,2015-03-03,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于进一步加快发展服务外包产业有关事项的通知',长沙市人民政府办公厅,2015-02-11,现行有效,地方政府规章及文件
'省人民政府关于进一步加快发展节能环保产业的实施意见',湖北省人民政府,2015-02-09,现行有效,地方政府规章及文件
'市人民政府关于加快推进建筑产业现代化发展的意见',武汉市人民政府,2015-01-22,现行有效,地方政府规章及文件
'省发改委、省经信委、省能源局转发国家能源局《关于调控煤炭总量优化产业布局指导意见》的通知',湖北省发展和改革委员会;湖北省经济和信息化委员会;湖北省能源局,2014-12-08,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于印发《长沙市移动互联网产业发展专项资金管理暂行办法》的通知',长沙市人民政府办公厅,2014-12-04,现行有效,地方政府规章及文件
'省农业厅办公室关于开展省级新型职业农民培育工程全产业链式示范培训工作的通知',湖北省农业厅办公室,2014-12-01,现行有效,地方政府规章及文件
'长沙高新技术产业开发区条例',长沙市人民代表大会常务委员会,2014-12-01,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于加快现代物流产业发展有关事项的通知',长沙市人民政府办公厅,2014-11-14,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于进一步推进油茶产业建设的意见',长沙市人民政府办公厅,2014-10-24,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于加快竹产业发展的意见',长沙市人民政府办公厅,2014-10-24,现行有效,地方政府规章及文件
'市人民政府关于印发武汉市加快光电子信息产业集聚发展规划纲要(2014—2020年)的通知',武汉市人民政府,2014-09-30,现行有效,地方政府规章及文件
'省人民政府关于印发湖北省集成电路产业发展行动方案的通知',湖北省人民政府,2014-09-28,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于促进电子商务产业发展有关事项的通知',长沙市人民政府办公厅,2014-09-22,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于印发《工业机器人产业发展三年行动计划(2015-2017年)》的通知',长沙市人民政府办公厅,2014-09-18,现行有效,地方政府规章及文件
'市人民政府关于印发武汉市发展智能制造产业实施方案的通知',武汉市人民政府,2014-09-17,现行有效,地方政府规章及文件
'市人民政府关于印发武汉市加快生物与健康产业集聚发展规划纲要(2014—2020年)的通知',武汉市人民政府,2014-09-16,现行有效,地方政府规章及文件
'市人民政府关于印发武汉市战略性新兴产业发展引导基金管理暂行办法的通知',武汉市人民政府,2014-09-07,已失效,地方政府规章及文件
'省发改委关于加强全省开发区产业发展规划工作的通知',湖北省发展和改革委员会,2014-08-24,现行有效,地方政府规章及文件
'市人民政府办公厅关于印发武汉市大数据产业发展行动计划(2014—2018年)的通知',武汉市人民政府办公厅,2014-07-18,现行有效,地方政府规章及文件
'市人民政府关于加快大数据推广应用促进大数据产业发展的意见',武汉市人民政府,2014-07-11,已失效,地方政府规章及文件
'长沙市人民政府关于加快北斗卫星导航应用产业发展的意见',长沙市人民政府,2014-07-03,现行有效,地方政府规章及文件
'市人民政府办公厅关于促进电子商务产业快速发展若干政策的通知',武汉市人民政府办公厅,2014-06-03,现行有效,地方政府规章及文件
'长沙市人民政府关于支持长沙(国家)广告产业园发展的意见',长沙市人民政府,2014-05-29,现行有效,地方政府规章及文件
'省人民政府关于深化流通体制改革加快流通产业发展的实施意见',湖北省人民政府,2014-04-18,现行有效,地方政府规章及文件
'长沙市人民政府关于进一步加快蔬菜产业发展的意见',长沙市人民政府,2014-04-01,现行有效,地方政府规章及文件
'关于进一步向武汉东湖新技术开发区、襄阳高新技术产业开发区、宜昌高新技术产业开发区下放权限及委托办理行政审批等有关事项的通知',湖北省发展和改革委员会,2014,现行有效,地方政府规章及文件
'省科技厅、省教育厅关于印发《湖北省产业技术研究院建设指导意见》的通知',湖北省科学技术厅;湖北省教育厅,2013-12-30,现行有效,地方政府规章及文件
'湖北省人民政府办公厅关于促进北斗卫星导航应用产业发展的意见',湖北省人民政府办公厅,2013-12-17,现行有效,地方政府规章及文件
'湖北省人民政府关于印发湖北省北斗卫星导航应用产业发展规划(2014—2020年)的通知',湖北省人民政府,2013-12-11,现行有效,地方政府规章及文件
'市人民政府关于印发武汉市实施工业重点产业链(企业群)构建工程行动方案的通知',武汉市人民政府,2013-12-10,现行有效,地方政府规章及文件
'市人民政府关于建设国家旅游中心城市推进全市旅游产业升级的意见',武汉市人民政府,2013-12-07,现行有效,地方政府规章及文件
'市人民政府关于全市旅游产业升级计划配套政策的通知',武汉市人民政府,2013-12-07,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于进一步加快发展服务外包产业有关事项的通知',长沙市人民政府办公厅,2013-11-25,现行有效,地方政府规章及文件
'市人民政府关于印发武汉市战略性新兴产业发展引导基金设立方案的通知',武汉市人民政府,2013-11-13,现行有效,地方政府规章及文件
'市人民政府关于印发《黄冈市文化产业发展规划纲要》的通知',黄冈市人民政府,2013-11-06,现行有效,地方政府规章及文件
'市人民政府关于印发《黄冈市现代农业“个十百千”工程产业发展规划》、《黄冈市推进现代农业“个十百千”工程实施方案》的通知',黄冈市人民政府,2013-10-25,现行有效,地方政府规章及文件
'市人民政府关于推进装备制造等五大产业加快发展的意见',黄石市人民政府,2013-09-22,现行有效,地方政府规章及文件
'湖北省人民政府办公厅关于深入推进全省化肥产业结构调整升级的意见',湖北省人民政府办公厅,2013-09-22,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于促进电子商务产业发展有关事项的通知',长沙市人民政府办公厅,2013-09-06,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于促进现代物流产业发展有关事项的通知',长沙市人民政府办公厅,2013-08-27,已失效,地方政府规章及文件
'湖北省人民政府关于加快推进冶金等四个优势传统产业调整改造转型升级的意见',湖北省人民政府,2013-07-24,已被修订,地方政府规章及文件
'市人民政府关于印发《黄冈大别山革命老区经济社会发展试验区产业发展基金使用管理暂行办法(试行)》的通知',黄冈市人民政府,2013-03-11,现行有效,地方政府规章及文件
'市人民政府关于禁止在总口华中家具产业园规划区内非法抢建抢栽抢挖的通告',潜江市人民政府,2012-09-12,现行有效,地方政府规章及文件
'省人民政府关于加快推进湖北省荆州承接产业转移示范区建设的若干意见',湖北省人民政府,2012-09-05,现行有效,地方政府规章及文件
'深圳市经济贸易和信息化委员会、深圳市财政委员会、深圳市公安局、深圳市人力资源和社会保障局、深圳市地方税务局、深圳海关关于印发《关于加快服务外包产业发展若干规定的实施办法》的通知',深圳市经济贸易和信息化委员会;深圳市财政委员会;深圳市公安局;深圳市人力资源和社会保障局;深圳市地方税务局;深圳海关,2012-09-04,已失效,地方政府规章及文件
'省人民政府办公厅关于加快粮油产业转型升级推进粮油工业跨越发展的意见',湖北省人民政府办公厅,2012-08-21,现行有效,地方政府规章及文件
'市人民政府关于印发《孝感市本级产业发展资金管理办法》、《孝感市市级公共性资金存款管理办法》、《孝感市本级财政预算专项切块资金管理办法》的通知',孝感市人民政府,2012-07-31,已失效,地方政府规章及文件
'省人民政府办公厅关于印发《湖北省化肥产业结构调整和转型升级工作实施方案》的通知',湖北省人民政府办公厅,2012-07-05,已失效,地方政府规章及文件
'市人民政府办公室关于印发湖北宜昌省域副中心城市产业发展基金使用管理实施细则的通知',宜昌市人民政府办公室,2012-06-25,现行有效,地方政府规章及文件
'市人民政府印发《关于促进股权投资产业发展的若干意见》的通知',襄阳市人民政府,2012-05-05,现行有效,地方政府规章及文件
'中共华容县委、华容县人民政府关于加强第三产业重大项目建设的若干规定',中共岳阳市华容县委;岳阳市华容县人民政府,2012-04-18,现行有效,地方政府规章及文件
'市人民政府关于印发咸宁市工业招商引资和产业结构调整指导目录的通知',咸宁市人民政府,2012-04-16,现行有效,地方政府规章及文件
'省发展改革委关于印发《湖北省节能环保产业发展规划（2011-2015年）》的通知',湖北省发展和改革委员会,2012-03-28,现行有效,地方政府规章及文件
'市委办公室、市政府办公室关于加快我市烟叶产业发展的意见',中共襄阳市委办公室;襄阳市人民政府办公室,2012-02-10,现行有效,地方政府规章及文件
'市人民政府关于促进高新技术产业发展的意见',潜江市人民政府,2012,现行有效,地方政府规章及文件
'孝感市人民政府关于加快茶叶产业发展的意见',孝感市人民政府,2012,现行有效,地方政府规章及文件
"'关于印发《长沙市重点产业""关键紧缺型技术创新人才""计划实施方案》的通知'",长沙市工业和信息化委员会,2011-12-23,现行有效,地方政府规章及文件
'关于印发《关于大力推动长沙市产业技术升级的意见》的通知',长沙市加速推进新型工业化工作领导小组,2011-12-12,现行有效,地方政府规章及文件
'关于印发《湖北武陵山少数民族经济社会发展试验区旅游产业推进工作方案》的通知',湖北省旅游局,2011-11-03,现行有效,地方政府规章及文件
'省人民政府办公厅关于加快全省化肥产业结构调整促进转型升级的意见',湖北省人民政府办公厅,2011-11-01,现行有效,地方政府规章及文件
'省人民政府关于促进服务外包产业发展的若干意见',湖北省人民政府,2011-08-25,现行有效,地方政府规章及文件
'市人民政府办公室转发市林业局等部门《关于推进林权抵押贷款加快林业产业发展的意见》的通知',黄冈市人民政府办公室,2011-08-24,现行有效,地方政府规章及文件
'市粮食局、市财政局关于武汉市粮食产业发展专项资金有关事项的通知',武汉市粮食局;武汉市财政局,2011-08-11,现行有效,地方政府规章及文件
'市人民政府办公厅关于印发促进资本特区股权投资产业发展实施办法的通知',武汉市人民政府办公厅,2011-06-22,现行有效,地方政府规章及文件
'关于印发《大别山革命老区经济社会发展试验区旅游产业推进工作方案》的通知',湖北省旅游局,2011-05-31,现行有效,地方政府规章及文件
'市经信委关于转发工信部《抑制平板玻璃产能过快增长引导产业健康发展的通知》',武汉市经济和信息化委员会,2011-05-26,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《宜昌市文化事业和文化产业发展“十二五”规划》通知',宜昌市人民政府办公室,2011-05-08,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《潜江市双低油菜产业发展实施方案（2011-2015年）》的通知',潜江市人民政府办公室,2011-05-05,现行有效,地方政府规章及文件
'市人民政府办公室转发市农业局关于《宜城市双低油菜产业发展实施方案(2011-2015)》的通知',宜城市人民政府办公室,2011-04-29,现行有效,地方政府规章及文件
'市人民政府办公室关于印发仙桃市双低油菜产业发展实施方案（2011—2015年）的通知',仙桃市人民政府办公室,2011-04-22,现行有效,地方政府规章及文件
