'吉林省人参产业条例',吉林省人民代表大会常务委员会,2015,现行有效,地方性法规及文件
'吉林省人民政府关于推进医药健康产业发展的实施意见',吉林省人民政府,2016-04-12,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于促进服务外包产业加快发展的实施意见',吉林省人民政府办公厅,2015-06-18,现行有效,地方政府规章及文件
'关于修订印发《吉林省文化产业示范基地管理办法》的通知',吉林省文化厅,2014-09-17,现行有效,地方政府规章及文件
'德惠市人民政府关于印发《德惠市加快推进棚膜蔬菜产业发展的实施意见》的通知',德惠市人民政府,2010-03-12,现行有效,地方政府规章及文件
'四平市人民政府办公室关于金融支持文化产业发展的实施意见',四平市人民政府办公室,2016-11-15,现行有效,地方政府规章及文件
'辽源市人民政府关于印发辽源市加快发展体育产业促进体育消费实施办法的通知',辽源市人民政府,2016-09-05,现行有效,地方政府规章及文件
'辽源市人民政府关于推进医药健康产业发展的实施意见',辽源市人民政府,2016-07-11,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发促进互联网金融产业健康发展意见的通知',西安市人民政府办公厅,2016-01-28,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于推进建筑产业现代化发展工作的指导意见',西安市人民政府办公厅,2015-11-23,现行有效,地方政府规章及文件
'四平市人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',四平市人民政府,2015-11-04,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于推进果业转型升级促进一二三产业融合发展的意见',西安市人民政府办公厅,2015-10-23,现行有效,地方政府规章及文件
'白山市人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',白山市人民政府,2015-10-08,现行有效,地方政府规章及文件
'吉林省人民政府关于加快推进医药健康支柱产业发展的实施意见',吉林省人民政府,2014-12-29,现行有效,地方政府规章及文件
'吉林省人民政府关于加快发展建筑支柱产业的意见',吉林省人民政府,2014-11-21,现行有效,地方政府规章及文件
'吉林省人民政府关于加快建设装备制造支柱产业的意见',吉林省人民政府,2014-08-31,现行有效,地方政府规章及文件
'白山市人民政府关于围绕矿泉水产业大力发展包装产业的指导意见',白山市人民政府,2014-08-21,现行有效,地方政府规章及文件
'西安市人民政府关于贯彻落实陕西省汽车产业发展规划(2013—2017年)的实施意见',西安市人民政府,2014-06-26,现行有效,地方政府规章及文件
'吉林省人民政府关于印发在吉林市开展全省产业创新示范区试点实施方案的通知',吉林省人民政府,2014-06-24,现行有效,地方政府规章及文件
'吉林省人民政府关于扩大消费加快流通产业发展的实施意见',吉林省人民政府,2014-06-09,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于促进地理信息产业发展的实施意见',吉林省人民政府办公厅,2014-04-22,现行有效,地方政府规章及文件
'四平市人民政府办公室关于转发市旅游局《加快推进旅游产业升级打造文化旅游强市实施方案》的通知',四平市人民政府办公室,2014-04-04,现行有效,地方政府规章及文件
'东丰县人民政府关于印发东丰农民画产业发展基金管理暂行办法的通知',辽源市东丰县人民政府,2014-03-13,现行有效,地方政府规章及文件
'吉林省人民政府关于推进安全产业发展的实施意见',吉林省人民政府,2014-01-17,现行有效,地方政府规章及文件
'吉林省人民政府关于推进文化创意和设计服务与相关产业融合发展的实施意见',吉林省人民政府,2014,现行有效,地方政府规章及文件
'白山市人民政府关于加快发展大健康产业的意见',白山市人民政府,2013-11-25,现行有效,地方政府规章及文件
'白山市人民政府关于加快发展现代高载能产业的意见',白山市人民政府,2013-11-25,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于印发深化流通体制改革加快流通产业发展重点工作部门分工方案的通知',吉林省人民政府办公厅,2013-09-30,现行有效,地方政府规章及文件
'吉林省人民政府关于扶持遥感卫星及应用产业发展的意见',吉林省人民政府,2013-09-24,现行有效,地方政府规章及文件
'长春市人民政府办公厅关于印发长春市人民政府加快战略性新兴产业发展若干意见实施细则的通知',长春市人民政府办公厅,2013-07-12,现行有效,地方政府规章及文件
'吉林省人民政府关于深化流通体制改革加快流通产业发展的实施意见',吉林省人民政府,2013-04-18,现行有效,地方政府规章及文件
'吉林省人民政府关于“十二五”期间节能环保产业发展的意见',吉林省人民政府,2013-03-30,现行有效,地方政府规章及文件
'长春市人民政府办公厅印发关于支持长春装备制造产业开发区加快发展若干政策的通知',长春市人民政府办公厅,2013-03-04,现行有效,地方政府规章及文件
'通化市人民政府办公室关于进一步加强有机食品产业建设的实施意见',通化市人民政府办公室,2013-01-31,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于转发市林业局、市财政局、市发改委、蓝田县政府《建设蓝田核桃产业示范县实施方案》的通知',西安市人民政府办公厅,2013-01-18,现行有效,地方政府规章及文件
'长春市人民政府关于加快战略性新兴产业发展的若干意见',长春市人民政府,2013-01-17,现行有效,地方政府规章及文件
'州人民政府关于印发《延边朝鲜族自治州产业发展规划》的通知',延边朝鲜族自治州人民政府,2012-09-29,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发参加2012关中—天水经济区承接产业转移洽谈会暨第三届先进制造业与服务业融合博览会实施方案的通知',西安市人民政府办公厅,2012-09-17,已失效,地方政府规章及文件
'吉林省人民政府办公厅转发省科技厅等部门《关于加强战略性新兴产业知识产权工作实施意见》的通知',吉林省人民政府办公厅,2012-07-23,现行有效,地方政府规章及文件
'东昌府区人民政府办公室关于加快民营镇域特色产业发展的实施意见',聊城市东昌府区人民政府办公室,2012-07-23,现行有效,地方政府规章及文件
'长春市人民政府关于加快林业产业发展的指导意见',长春市人民政府,2012-07-03,现行有效,地方政府规章及文件
'长春市人民政府办公厅关于印发长春市金融促进战略性新兴产业发展指导意见的通知',长春市人民政府办公厅,2012-07-03,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发2012中国欧亚国际军民结合暨新兴产业博览会总体方案的通知',西安市人民政府办公厅,2012-06-21,已失效,地方政府规章及文件
'吉林省人民政府关于印发吉林省旅游产业壮大计划的通知',吉林省人民政府,2012-05-15,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发2012中国西安国际科学技术产业博览会暨第七届中国西安国际高新技术成果交易会总体方案的通知',西安市人民政府办公厅,2012-05-09,已失效,地方政府规章及文件
'白山市人民政府办公室转发《关于促进商旅文化产业快速发展实施意见》的通知',白山市人民政府办公室,2012-04-11,现行有效,地方政府规章及文件
'东丰县人民政府办公室关于印发2012年太和甜瓜产业园区和湾龙河“两薯一菜”产业园区建设重点工作任务分解的通知',辽源市东丰县人民政府办公室,2012-02-27,现行有效,地方政府规章及文件
'长春市人民政府关于促进我市服务外包产业发展的若干意见',长春市人民政府,2012-01-05,现行有效,地方政府规章及文件
'辽源市人民政府关于印发辽源市战略性新兴产业三年实施计划(2012—2014年)的通知',辽源市人民政府,2011-11-14,现行有效,地方政府规章及文件
'通化市人民政府关于促进保健品产业加快发展的指导意见',通化市人民政府,2011-09-22,现行有效,地方政府规章及文件
'通化市人民政府关于印发支持文化产业发展若干政策的通知',通化市人民政府,2011-07-13,现行有效,地方政府规章及文件
'松原市人民政府关于印发加快推进石化产业发展的意见',松原市人民政府,2011-07-05,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于提升特色资源产业的实施意见',吉林省人民政府办公厅,2011-06-30,现行有效,地方政府规章及文件
'东丰县人民政府关于印发东丰县支持梅花鹿产业发展优惠政策的通知',辽源市东丰县人民政府,2011-06-03,现行有效,地方政府规章及文件
'东丰县人民政府关于印发东丰县加快梅花鹿产业发展的扶持政策的通知',辽源市东丰县人民政府,2011-06-03,现行有效,地方政府规章及文件
'转发《关于遏制电解铝行业产能过剩和重复建设引导产业健康发展的紧急通知》的通知',吉林省国土资源厅,2011-05-16,现行有效,地方政府规章及文件
'关于印发苗志忠县长在进一步开展产业培育年活动动员大会上的讲话的通知',西安市蓝田县人民政府办公室,2011-02-09,现行有效,地方政府规章及文件
'大安区人民政府办公室关于加快蔬菜产业发展的意见',自贡市大安区人民政府办公室,2011,现行有效,地方政府规章及文件
'关于转发省发改委《关于转发国家发展改革委等部门联合印发的<关于推进再制造产业发展的意见>的通知》的通知',西安市发展和改革委员会;西安市科学技术局;西安市工业和信息化委员会;西安市公安局;西安市财政局;西安市环境保护局;西安市商务局;西安市工商行政管理局;西安市国家税务局;西安市质量技术监督局,2010-12-22,现行有效,地方政府规章及文件
'关于印发《吉林省工商局关于推进人参产业发展的实施意见》的通知',吉林省工商行政管理局,2010-11-18,现行有效,地方政府规章及文件
'吉林省人民政府办公厅转发省发展改革委等部门《关于加快推行合同能源管理促进节能服务产业发展若干规定》的通知',吉林省人民政府办公厅,2010-11-02,现行有效,地方政府规章及文件
'关于印发《西安市临潼区促进西安渭北（临潼）现代工业新城产业发展的若干规定》的通知',西安市临潼区人民政府,2010-10-18,现行有效,地方政府规章及文件
'吉林省人民政府关于落实国务院文化产业振兴规划的意见',吉林省人民政府,2010-09-12,现行有效,地方政府规章及文件
'白城市人民政府办公室关于印发全市清理整顿规范非煤矿山产业工作实施方案的通知',白城市人民政府办公室,2010-09-01,已失效,地方政府规章及文件
'吉林省人民政府关于加快推进我省汽车与石化产业配套协作发展政策措施的意见',吉林省人民政府,2010-08-16,现行有效,地方政府规章及文件
'吉林省人民政府关于振兴人参产业的意见',吉林省人民政府,2010-07-19,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于促进电影发行放映产业繁荣发展的实施意见',吉林省人民政府办公厅,2010-07-01,现行有效,地方政府规章及文件
'西安市财政支持产业发展资金股权投入管理暂行办法',西安市人民政府,2010-06-13,现行有效,地方政府规章及文件
'关于加快肉鸡产业发展的意见',中共西安市蓝田县委;西安市蓝田县人民政府,2010-06-13,现行有效,地方政府规章及文件
'吉林省人民政府关于批转《吉林省２０１０—２０２０年林业产业发展规划》的通知',吉林省人民政府,2010-06-07,现行有效,地方政府规章及文件
'西安市人民政府办公厅转发市工信委《关于创建新型工业化产业示范基地实施意见》的通知',西安市人民政府办公厅,2010-06-03,现行有效,地方政府规章及文件
'关于印发《吉林省文化产业示范园区管理暂行办法》的通知',吉林省文化厅,2010-06-03,现行有效,地方政府规章及文件
'西安市工商行政管理局关于印发支持促进全市各类工业园区和特色产业带发展的服务措施的通知',西安市工商行政管理局,2010-05-19,已失效,地方政府规章及文件
'周至县人民政府办公室关于印发周至县集贤产业园区管委会主要职责内设机构和人员编制规定的通知',西安市周至县人民政府办公室,2010-04-27,现行有效,地方政府规章及文件
'东昌府区人民政府关于实施“产业提升工程”的意见',聊城市东昌府区人民政府,2010-03-22,已失效,地方政府规章及文件
'德惠市人民政府关于印发《德惠市加快推进棚膜蔬菜产业发展的实施意见》的通知',德惠市人民政府,2010-03-12,现行有效,地方政府规章及文件
'东昌府区人民政府关于印发《东昌府区农业产业调整振兴计划(2010年-2012年)》的通知',聊城市东昌府区人民政府,2010-03-09,现行有效,地方政府规章及文件
'州人民政府关于加快延边黄牛、延黄牛产业发展的意见',延边朝鲜族自治州人民政府,2010-03-04,现行有效,地方政府规章及文件
'关于进一步优化产业布局加快推进县域经济发展的意见',西安市人民政府,2010-03-03,现行有效,地方政府规章及文件
'关于印发苗志忠县长在2009基础环境提升年总结表彰暨2010产业培育年活动动员大会上的讲话的通知',西安市蓝田县人民政府办公室,2010-02-23,现行有效,地方政府规章及文件
'长春市人民政府关于加快君子兰产业发展的若干意见',长春市人民政府,2010-02-12,现行有效,地方政府规章及文件
'四平市人民政府办公室关于印发2010年四平市棚膜蔬菜产业发展实施意见的通知',四平市人民政府办公室,2010-01-29,现行有效,地方政府规章及文件
'四平市人民政府关于印发四平市工业产业跃升计划纲要的通知',四平市人民政府,2010-01-26,现行有效,地方政府规章及文件
'西安市财政局、西安市文化体制改革和文化产业发展领导小组办公室关于印发西安市文化产业发展专项资金项目申报指南的通知',西安市财政局;西安市文化体制改革和文化产业发展领导小组办公室,2010-01-20,现行有效,地方政府规章及文件
'长春市人民政府关于支持战略性新兴产业发展的若干意见',长春市人民政府,2010-01-05,现行有效,地方政府规章及文件
'延边朝鲜族自治州人民政府关于印发延边州工业产业跃升推进计划纲要的通知',延边朝鲜族自治州人民政府,2009-12-30,现行有效,地方政府规章及文件
'关于转发《陕西省水泥产业结构调整指导意见》的通知',西安市发展和改革委员会,2009-11-24,现行有效,地方政府规章及文件
'西安市临潼区人民政府关于加快高技术产业发展的实施意见',西安市临潼区人民政府,2009-11-13,现行有效,地方政府规章及文件
'关于印发《吉林省工商行政管理局关于支持文化体制改革促进文化产业发展的若干政策措施》的通知',吉林省工商行政管理局,2009-11-03,现行有效,地方政府规章及文件
'关于进一步抓好今年秋冬园艺特产业生产及设施建设的通知',吉林省农业委员会,2009-10-23,现行有效,地方政府规章及文件
'关于转发吉林省医药产业发展推进组办公室《关于充分利用吉林省医药企业融资平台有关事宜的通知》的通知',长春市科学技术局,2009-09-02,现行有效,地方政府规章及文件
'长春市人民政府关于印发《长春市文化事业与文化产业发展规划(2008—2012)》的通知',长春市人民政府,2009-07-24,现行有效,地方政府规章及文件
'四平市人民政府办公室转发市农委《关于加快推进棚膜蔬菜产业发展实施意见》的通知',四平市人民政府办公室,2009-07-15,现行有效,地方政府规章及文件
'松原市人民政府办公室关于印发松原市加快第三产业发展若干规定实施细则的通知',松原市人民政府办公室,2009-07-09,现行有效,地方政府规章及文件
'长春市人民政府办公厅关于将宽城区“北湖”区域交由高新技术产业开发区代管的通知',长春市人民政府办公厅,2009-06-29,现行有效,地方政府规章及文件
'西安市工商行政管理局关于印发进一步发挥职能服务航空产业基地发展的若干意见的通知',西安市工商行政管理局,2009-06-29,现行有效,地方政府规章及文件
'长春市人民政府关于促进文化事业及文化产业发展的若干意见',长春市人民政府,2009-06-29,现行有效,地方政府规章及文件
'四平市人民政府关于印发四平市十大特色产业园区建设工作方案的通知',四平市人民政府,2009-06-15,现行有效,地方政府规章及文件
'吉林省人民政府关于落实国家汽车产业调整和振兴规划的实施意见',吉林省人民政府,2009-06-04,现行有效,地方政府规章及文件
'吉林省人民政府关于加快农机装备产业发展的意见',吉林省人民政府,2009-06-02,现行有效,地方政府规章及文件
'吉林省人民政府关于印发吉林省工业产业跃升计划纲要的通知',吉林省人民政府,2009-05-31,现行有效,地方政府规章及文件
'西安市人民政府关于进一步加快发展软件和服务外包产业的若干意见',西安市人民政府,2009-05-14,现行有效,地方政府规章及文件
'西安市碑林区人民政府关于印发促进软件及服务外包动漫产业发展扶持政策的通知',西安市碑林区人民政府,2009-02-18,现行有效,地方政府规章及文件
'四平市人民政府办公室关于印发四平市打造牧业大产业建设牧业经济强市攻坚战实施方案的通知',四平市人民政府办公室,2009-02-09,现行有效,地方政府规章及文件
'吉林省人民政府关于加快发展高新技术产业的意见',吉林省人民政府,2009-02-01,现行有效,地方政府规章及文件
'长春市人民政府关于落实省委、省政府《关于进一步加快旅游产业发展的决定》的实施意见',长春市人民政府,2009-01-20,现行有效,地方政府规章及文件
'吉林省人民政府关干加快生猪、肉牛奶牛、家禽产业发展的意见',吉林省人民政府,2009-01-07,现行有效,地方政府规章及文件
'关于做好全市国家鼓励类产业享受税收优惠政策确认工作的通知',西安市发展和改革委员会,2008-12-30,现行有效,地方政府规章及文件
'关于印发《吉林省信息产业发展专项资金项目验收办法》的通知',吉林省信息产业厅,2008-12-26,现行有效,地方政府规章及文件
'吉林省人民政府办公厅转发省农委关干加快推进棚膜蔬菜产业发展实施意见的通知',吉林省人民政府办公厅,2008-12-05,现行有效,地方政府规章及文件
'州人民政府关于扶持和规范房地产业发展的若干意见',延边朝鲜族自治州人民政府,2008-11-18,现行有效,地方政府规章及文件
'长春市信息产业局关于调度光电信息产业项目的通知',长春市信息产业局,2008-11-13,现行有效,地方政府规章及文件
'西安市人民政府关于进一步扶持奶产业发展的通知',西安市人民政府,2008-10-23,现行有效,地方政府规章及文件
'白山市人民政府关于产业推进工作的实施意见',白山市人民政府,2008-10-08,现行有效,地方政府规章及文件
'吉林省人民政府关于加快推进全省石油化工产业发展的意见',吉林省人民政府,2008-09-27,现行有效,地方政府规章及文件
'西安市人民政府关于恢复房地产业发展的若干意见',西安市人民政府,2008-09-04,现行有效,地方政府规章及文件
'西安市人民政府办公厅转发市政府金融工作办公室关于西安市银行卡产业发展的实施意见的通知',西安市人民政府办公厅,2008-08-27,现行有效,地方政府规章及文件
'吉林省人民政府关于加快推进医药产业发展的意见',吉林省人民政府,2008-08-12,现行有效,地方政府规章及文件
'松原市人民政府关于印发松原市2008年-2012年现代生猪产业发展规划的通知',松原市人民政府,2008-07-08,现行有效,地方政府规章及文件
'吉林市人民政府关于加快奶牛产业发展的若干意见',吉林市人民政府,2008-06-25,现行有效,地方政府规章及文件
'西安市发展和改革委员会关于发布《西安市产业导向目录(2008年本)》的通告',西安市发展和改革委员会,2008-06-05,现行有效,地方政府规章及文件
'西安市灞桥区人民政府关于印发灞桥区水安路林果观光产业带工作实施方案的通知',西安市灞桥区人民政府,2008-06-05,已失效,地方政府规章及文件
'关于做好2008年信息产业发展专项资金项目申报工作的通知',吉林省财政厅;吉林省信息产业厅,2008-04-25,现行有效,地方政府规章及文件
'吉林省人民政府关于加快轨道客车产业发展的意见',吉林省人民政府,2008-04-22,现行有效,地方政府规章及文件
'大安区人民政府关于加快林业产业发展的实施意见',自贡市大安区人民政府,2008-04-15,现行有效,地方政府规章及文件
'关于加强信息产业安全生产管理工作的通知',吉林省信息产业厅,2008-03-07,现行有效,地方政府规章及文件
'长春市人民政府办公厅关于将宽城区奋进乡兴华、太平村交由高新技术产业开发区代管的通知',长春市人民政府办公厅,2007-11-27,现行有效,地方政府规章及文件
'西安市发展和改革委员会关于贯彻执行《外商投资产业指导目录(2007年修订)》的通知',西安市发展和改革委员会,2007-11-27,已被修订,地方政府规章及文件
'州人民政府办公室关于印发全州做精延边大米产业实施方案的通知',延边朝鲜族自治州人民政府办公室,2007-11-16,现行有效,地方政府规章及文件
'州人民政府办公室关于印发全州延边黄牛产业发展实施方案的通知',延边朝鲜族自治州人民政府办公室,2007-11-16,现行有效,地方政府规章及文件
'吉林省信息产业园认定管理暂行办法',吉林省信息产业厅,2007-09-18,现行有效,地方政府规章及文件
'吉林省人民政府办公厅转发省农委关于加快全省人参产业发展实施方案的通知',吉林省人民政府办公厅,2007-08-15,现行有效,地方政府规章及文件
'白山市人民政府关于加快长白山特种野猪产业发展的意见',白山市人民政府,2007-08-14,现行有效,地方政府规章及文件
'吉林省人民政府关于加快生猪产业发展的意见',吉林省人民政府,2007-08-11,现行有效,地方政府规章及文件
'长春市双阳区人民政府关于做好扶持农村产业发展贴息资金管理使用工作的通知',长春市双阳区人民政府,2007-08-03,现行有效,地方政府规章及文件
'松原市人民政府办公室关于印发松原市第三产业发展指标体系及考核办法的补充通知',松原市人民政府办公室,2007-06-08,现行有效,地方政府规章及文件
'四平市人民政府关于进一步促进旅游产业发展的意见',四平市人民政府,2007-04-28,现行有效,地方政府规章及文件
'吉林省人民政府办公厅转发省信息化领导小组办公室关于推进企业信息化改造和提升传统产业意见的通知',吉林省人民政府办公厅,2007-04-17,现行有效,地方政府规章及文件
'关于转发《长白山保护开发区管理委员会辖区产业结构调整指导目录》的通知',长白山保护开发区管理委员会办公室,2007-04-03,现行有效,地方政府规章及文件
'吉林省人民政府批转省发展改革委等部门关于加快培育旅游支柱产业指导意见的通知',吉林省人民政府,2007-04-02,现行有效,地方政府规章及文件
'吉林省人民政府批转省发展改革委等部门关于加快培育旅游支柱产业指导意见的通知',吉林省人民政府,2007-04-02,现行有效,地方政府规章及文件
'白山市人民政府关于印发白山市鼓励绿色食品产业发展的政策规定的通知',白山市人民政府,2007-03-26,现行有效,地方政府规章及文件
'松原市人民政府办公室关于印发松原市第三产业发展指标体系及考核办法的通知',松原市人民政府办公室,2007-03-13,现行有效,地方政府规章及文件
'松原市人民政府关于印发第三产业发展引导资金管理办法的通知',松原市人民政府,2007-01-15,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于督查旅游产业发展政策贯彻落实情况的通知',吉林省人民政府办公厅,2006-11-23,现行有效,地方政府规章及文件
'延边朝鲜族自治州人民政府办公室关于印发延边朝鲜族自治州矿产业发展“十一五”规划的通知',延边朝鲜族自治州人民政府办公室,2006-11-13,现行有效,地方政府规章及文件
'吉林省人民政府办公厅转发省中小企业局关于“十一五”期间加快中小企业暨民营经济产业集群发展意见的通知',吉林省人民政府办公厅,2006-10-17,现行有效,地方政府规章及文件
'西安市人民政府关于印发西安市集成电路产业“十一五”发展实施意见的通知',西安市人民政府,2006-09-25,现行有效,地方政府规章及文件
'四平市人民政府关于加快林业产业发展的意见',四平市人民政府,2006-09-18,现行有效,地方政府规章及文件
'中共吉林省委、吉林省人民政府关于进一步加快旅游产业发展的决定',中共吉林省委;吉林省人民政府,2006-07-20,现行有效,地方政府规章及文件
'中共东昌府区委、东昌府区人民政府关于扶持江北汽车产业园带动汽车商贸物流中心区域发展的意见(试行)',中共聊城市东昌府区委;聊城市东昌府区人民政府,2006-07-06,现行有效,地方政府规章及文件
'吉林省人民政府关于加快人参产业发展的意见',吉林省人民政府,2006-04-14,现行有效,地方政府规章及文件
'松原市人民政府办公室关于转发松原市旅游产业发展“十一五”规划的通知',松原市人民政府办公室,2006-04-13,现行有效,地方政府规章及文件
'吉林省人民政府办公厅转发长白山矿泉水资源开发利用工作推进组关于推进长白山矿泉水产业发展意见的通知',吉林省人民政府办公厅,2006-04-12,现行有效,地方政府规章及文件
'西安市人民政府批转人民银行西安分行营管部关于进一步加快西安市金融产业发展意见的通知',西安市人民政府,2006-04-09,现行有效,地方政府规章及文件
'长春市人民政府办公厅关于绿园区与汽车产业开发区区划调整有关问题的通知',长春市人民政府办公厅,2006-02-27,现行有效,地方政府规章及文件
