车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
大众CC 2016款 300TSI 25周年纪念版,16.9,29.39,2017,9.0,1.8T,0,4
大众 速腾 2017款 1.6L 自动舒适型,9.0,16.37,2017,3.17,1.6L,0,4
福特 福睿斯 2017款 幸福版 1.5L 手动时尚型,5.38,11.97,2018,3.68,1.5L,1,3
大众 帕萨特 2016款 330TSI DSG尊荣版,13.58,24.2,2016,9.01,1.8T,0,5
福特 福克斯 2013款 两厢经典 1.8L 手动基本型,3.3,10.83,2014,6.0,1.8L,1,7
吉利 博越 2020款 1.8TD DCT两驱智联型4G互联版,9.98,13.0,2019,1.39,1.8T,0,2
现代 朗动 2015款 1.6L 自动领先型,6.28,13.87,2015,4.43,1.6L,0,6
哈弗H1 2016款 改款 蓝标 1.5L AMT豪华型,4.38,8.35,2017,2.05,1.5L,0,4
大众 高尔夫 2017款 230TSI 自动豪华百万辆纪念版,11.3,18.01,2018,3.45,1.4T,0,3
丰田 凯美瑞 2018款 2.5G 豪华版,18.38,23.86,2018,5.5,2.5L,0,3
福特 福睿斯 2017款 改款 1.5L 手动舒适型,4.68,10.51,2017,4.7,1.5L,1,4
大众 迈腾 2017款 330TSI DSG 豪华型,15.58,25.5,2017,7.8,1.8T,0,4
大众 帕萨特 2019款 330TSI 精英版 国VI,18.58,23.65,2020,1.58,2.0T,0,1
现代 瑞纳 2010款 三厢 1.4L 手动舒适型GS,2.38,8.56,2011,6.5,1.4L,1,10
马自达6 2013款 2.0L 自动时尚型,7.18,16.04,2014,5.68,2.0L,0,7
吉利 博越 2018款 1.8TD 自动两驱智联型4G互联版,8.2,14.09,2018,2.62,1.8T,0,3
哈弗F7 2019款 1.5T 两驱i潮 国V,9.88,14.65,2019,2.8,1.5T,0,2
吉利 缤越 2019款 运动款 260T DCT游侠 国V,8.26,11.81,2019,1.73,1.5T,0,2
大众 途观 2013款 1.8TSI 自动两驱舒适版,9.8,25.81,2014,8.12,1.8T,0,7
日产 逍客 2012款 2.0XV 雷 CVT 2WD,7.3,19.63,2013,11.0,2.0L,0,8
大众 速腾 2018款 1.6L 自动舒适型,10.18,16.04,2019,6.3,1.6L,0,2
大众 速腾 2014款 1.4TSI 自动时尚型,7.48,16.91,2014,14.5,1.4T,0,7
丰田 汉兰达 2015款 3.5L 四驱精英版 7座,26.8,35.04,2016,13.72,3.5L,0,5
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,11.5,16.81,2019,3.55,1.4T,0,2
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,10.28,16.81,2017,6.1,1.4T,0,4
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,9.3,15.19,2018,5.31,1.5L,0,3
大众 宝来 2018款 1.5L 自动时尚型,8.2,13.0,2018,5.28,1.5L,0,3
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,17.88,33.95,2016,9.39,2.0T,0,5
丰田 凯美瑞 2009款 200G 豪华版,7.38,22.77,2010,8.14,2.0L,0,11
现代 菲斯塔 2019款 280TGDi 运动版 国VI,12.18,14.52,2020,0.73,1.6T,0,1
雪佛兰 科鲁兹 2013款 1.6L SL MT,2.68,11.82,2012,8.55,1.6L,1,9
马自达 昂克赛拉 2017款 三厢 1.5L 手动舒适型 国V,7.8,12.25,2018,3.0,1.5L,1,3
吉利 远景 2018款 1.5L 自动幸福版,5.0,7.48,2018,3.55,1.5L,0,3
宝马5系 2014款 525Li 领先型,25.8,50.65,2015,6.85,2.0T,0,6
大众 速腾 2014款 改款 1.4TSI 自动豪华型,8.5,18.21,2015,5.57,1.4T,0,6
福特 福睿斯 2017款 改款 1.5L 手动舒适型,5.86,10.51,2018,3.91,1.5L,1,3
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,8.6,13.67,2016,5.72,1.5L,0,5
奥迪A3 2018款 30周年年型 Limousine 35 TFSI 时尚型,15.38,23.86,2018,6.73,1.4T,0,3
大众 捷达 2019款 梦想版 1.5L 自动时尚型,6.88,10.29,2019,2.8,1.5L,0,2
本田 雅阁 2013款 2.0L SE,9.18,22.01,2013,9.49,2.0L,0,8
大众POLO 2019款 Plus 1.5L 自动全景乐享版,8.29,11.93,2019,0.72,1.5L,0,2
现代 悦动 2011款 1.6L 手动豪华型,2.8,11.92,2012,12.0,1.6L,1,9
大众 朗逸 2017款 230TSI DSG舒适版,10.9,15.95,2018,5.79,1.4T,0,3
本田 奥德赛 2017款 2.4L 至尊版,23.3,32.54,2017,4.52,2.4L,0,4
哈弗H7 2016款 蓝标H7 2.0T 自动豪华型,8.68,17.26,2017,8.4,2.0T,0,4
别克 凯越 2013款 1.5L 自动经典型,3.98,11.06,2014,10.46,1.5L,0,7
大众 宝来 2017款 1.6L 自动时尚型,6.98,13.0,2017,4.5,1.6L,0,4
大众 速腾 2018款 1.6L 自动舒适型,10.58,16.04,2019,2.43,1.6L,0,2
现代ix25 2015款 1.6L 自动两驱智能型GLS,7.88,15.5,2016,3.9,1.6L,0,5
奔驰E级 2015款 E 260 L 运动型,22.2,50.8,2014,9.78,2.0T,0,7
宝马3系 2018款 320i M运动套装,23.2,34.39,2018,6.0,2.0T,0,3
大众 迈腾 2019款 330TSI DSG 领先型 国V,16.86,23.35,2019,7.71,2.0T,0,2
大众 速腾 2017款 180TSI 自动臻享版,9.5,16.69,2017,6.8,1.2T,0,4
现代 名图 2014款 1.8L 自动智能型GLS,7.88,16.26,2014,6.1,1.8L,0,7
大众CC 2019款 330TSI 华颜版 国V,21.58,26.79,2019,3.45,2.0T,0,2
马自达6 2013款 2.0L 手动型,5.58,14.09,2014,8.62,2.0L,1,7
宝马1系 2020款 120i M运动套装,16.8,24.29,2020,0.99,1.5T,0,1
吉利 远景 2015款 1.5L 手动精英型,3.3,6.28,2015,6.0,1.5L,1,6
大众 宝来 2014款 1.6L 自动时尚型,6.8,13.0,2015,8.81,1.6L,0,6
大众 帕萨特 2017款 280TSI DSG尊雅版,12.0,20.61,2017,5.0,1.4T,0,4
大众 途观 2012款 2.0TSI 舒适版(进口),10.98,39.73,2013,12.6,2.0T,0,8
吉利 帝豪 2017款 两厢RS百万款 1.5L 手动向上版,4.5,8.34,2017,3.28,1.5L,1,4
奥迪A4L 2018款 30周年年型 45 TFSI quattro 运动型,24.98,44.18,2018,7.64,2.0T,0,3
吉利 远景SUV 2016款 1.3T CVT豪华型,6.28,10.3,2017,4.8,1.3T,0,4
大众 迈腾 2018款 330TSI DSG 豪华型,17.98,25.5,2018,2.7,1.8T,0,3
起亚KX CROSS 2017款 1.4L AT GLS,6.88,9.32,2018,1.48,1.4L,0,3
现代 索纳塔八 2011款 2.0L 自动豪华版,5.8,20.61,2012,9.57,2.0L,0,9
奥迪A6L 2012款 30 FSI 舒适型,18.8,51.3,2013,9.37,2.5L,0,8
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,9.68,20.6,2016,11.91,1.5T,0,5
别克 凯越 2013款 1.5L 自动经典型,3.58,11.06,2013,6.71,1.5L,0,8
本田 艾力绅 2016款 2.4L 至尊版,23.5,33.63,2016,11.42,2.4L,0,5
吉利 帝豪 2015款 三厢 1.5L CVT向上版,3.98,9.86,2015,8.0,1.5L,0,6
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.2,10.38,2017,6.7,1.6L,0,4
大众 捷达 2010款 1.6L 伙伴,2.99,8.23,2012,9.29,1.6L,1,9
起亚 K5凯酷 2020款 270T CVVD 豪华科技版,16.38,19.3,2021,0.03,1.5T,0,0
大众 迈腾 2012款 改款 1.8TSI 豪华型,8.4,25.27,2012,13.0,1.8T,0,9
福特 福克斯 2012款 两厢 1.6L 自动舒适型,5.8,14.21,2015,7.9,1.6L,0,6
大众 捷达 2010款 1.6L 伙伴,3.2,8.23,2013,9.12,1.6L,1,8
大众CC 2019款 330TSI 魅颜版 国V,21.8,28.53,2019,1.8,2.0T,0,2
起亚K5 2012款 2.0L 自动DLX,7.28,20.49,2013,11.36,2.0L,0,8
大众 途观 2015款 1.8TSI 自动四驱豪华型,12.38,30.05,2015,5.24,1.8T,0,6
大众 捷达 2013款 1.6L 自动豪华型,4.6,12.95,2013,3.0,1.6L,0,8
大众 宝来 2019款 280TSI DSG精英型,10.2,16.17,2019,2.73,1.4T,0,2
马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,9.36,13.45,2018,2.3,1.5L,0,3
大众CC 2016款 2.0TSI 至尊型,18.5,32.98,2017,5.9,2.0T,0,4
吉利 缤越 2020款 PRO 260T DCT骑士,9.2,10.83,2020,0.77,1.5T,0,1
大众 高尔夫 2018款 230TSI 自动舒适型,10.98,16.81,2018,4.2,1.4T,0,3
福特 野马 2017款 2.3T 性能版(进口),25.8,43.07,2017,6.0,2.3T,0,4
雪佛兰 赛欧 2013款 三厢 1.4L 手动优逸幸福版,2.95,7.64,2015,12.67,1.4L,1,6
宝马X1 2016款 sDrive18Li 时尚型,14.55,31.04,2016,6.16,1.5T,0,5
大众 迈腾 2012款 改款 1.8TSI 豪华型,8.4,25.27,2012,9.51,1.8T,0,9
大众 朗逸 2015款 1.6L 自动风尚版,6.98,13.23,2016,4.76,1.6L,0,5
本田 杰德 2020款 1.8L 自动舒适版,13.18,15.19,2020,1.15,1.8L,0,1
日产 蓝鸟 2016款 1.6L CVT智酷版,7.99,14.32,2016,5.43,1.6L,0,5
本田 飞度 2018款 1.5L CVT舒适版,7.4,8.88,2018,2.8,1.5L,0,3
别克 昂科雷 2010款 3.6L 精英版(进口),6.9,57.42,2011,18.0,3.6L,0,10
宝马X1 2016款 sDrive18Li 尊享型,17.0,33.22,2016,5.43,1.5T,0,5
大众 宝来 2013款 1.6L 自动时尚型,5.6,13.0,2013,8.97,1.6L,0,8
大众CC 2016款 2.0TSI 豪华型,16.8,30.81,2017,4.1,2.0T,0,4
丰田 卡罗拉 2014款 1.8L CVT GLX-i,7.68,16.37,2014,11.3,1.8L,0,7
大众 速腾 2018款 1.6L 自动舒适型,10.39,16.04,2019,3.2,1.6L,0,2
福特 福克斯 2012款 两厢 1.6L 自动舒适型,5.08,14.21,2014,4.39,1.6L,0,7
马自达 阿特兹 2018款 2.0L 蓝天豪华版 国V,13.88,20.6,2018,1.83,2.0L,0,3
马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,8.88,13.45,2018,4.0,1.5L,0,3
日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.5,21.36,2018,4.37,2.0L,0,3
奥迪A4L 2013款 35 TFSI 自动标准型,13.98,33.63,2013,14.37,2.0T,0,8
吉利 博越 2016款 1.8TD 自动智慧型,8.5,15.17,2017,3.38,1.8T,0,4
大众 捷达 2010款 1.6L 伙伴,3.2,8.23,2013,9.12,1.6L,1,8
日产 骐达 2014款 1.6L CVT舒适型,7.38,12.52,2016,4.8,1.6L,0,5
起亚K2 2017款 三厢 1.4L AT GLS,5.7,9.65,2018,2.96,1.4L,0,3
哈弗H6 2017款 红标 运动版 1.5T 手动两驱精英型,7.5,11.7,2017,3.67,1.5T,1,4
吉利 博越 2016款 1.8TD 自动智尊型,7.98,16.15,2017,3.48,1.8T,0,4
日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.5,21.36,2018,4.14,2.0L,0,3
哈弗H6 2017款 改款红标 运动版 1.5T 自动两驱豪华型,8.68,13.11,2018,5.6,1.5T,0,3
起亚KX3 2015款 1.6L 自动两驱DLX,7.5,15.28,2016,3.45,1.6L,0,5
大众 宝来 2014款 1.6L 自动舒适型,5.68,13.93,2014,4.3,1.6L,0,7
大众 凌渡 2015款 230TSI DSG风尚版,9.58,17.36,2016,6.18,1.4T,0,5
奥迪Q5 2017款 40 TFSI 进取型,25.2,43.46,2017,6.65,2.0T,0,4
本田 思域 2016款 220TURBO CVT豪华版,12.5,15.19,2018,5.0,1.5T,0,3
丰田 汉兰达 2015款 2.0T 四驱精英版 7座,21.6,28.09,2015,7.89,2.0T,0,6
丰田 锐志 2012款 2.5V 风度菁英炫装版,13.7,25.81,2013,8.0,2.5L,0,8
大众 朗逸 2017款 230TSI DSG舒适版,10.9,15.95,2018,5.79,1.4T,0,3
雪佛兰 科沃兹 2019款 325T 双离合欣悦版,5.78,11.39,2018,2.36,1.0T,0,3
大众POLO 2016款 1.4L 自动风尚型,7.5,9.54,2018,2.0,1.4L,0,3
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,7.5,20.29,2015,5.6,2.0L,0,6
大众POLO 2016款 1.6L 自动舒适型,7.2,11.28,2017,6.1,1.6L,0,4
大众 高尔夫 2016款 230TSI 自动舒适型,9.28,16.81,2016,8.9,1.4T,0,5
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,8.98,15.19,2017,4.65,1.5L,0,4
大众 宝来 2019款 改款 1.5L 自动精英型 国VI,9.61,15.09,2019,4.54,0.0L,0,2
马自达 阿特兹 2020款 2.5L 蓝天尊崇版,17.5,23.75,2020,1.21,2.5L,0,1
吉利 博越 2016款 1.8TD 自动智慧型,8.5,15.17,2017,3.38,1.8T,0,4
日产 轩逸 2012款 1.6XL CVT豪华版,6.3,14.65,2013,7.13,1.6L,0,8
大众 速腾 2015款 230TSI 自动舒适型,9.4,17.45,2016,4.22,1.4T,0,5
别克 英朗 2014款 XT 1.6L 自动时尚版,5.68,16.27,2014,9.3,1.6L,0,7
大众CC 2019款 330TSI 魅颜版 国V,20.98,28.53,2019,3.17,2.0T,0,2
现代 菲斯塔 2019款 280TGDi 智速版 国VI,12.38,15.28,2019,0.96,1.6T,0,2
日产 骐达 2016款 1.6L CVT智行版,8.6,13.34,2018,3.51,1.6L,0,3
本田XR-V 2017款 1.8L EXi CVT舒适版,11.98,16.26,2017,5.61,1.8L,0,4
大众 速腾 2018款 1.6L 自动舒适型,9.78,16.04,2019,3.92,1.6L,0,2
大众 朗逸 2017款 1.6L 自动舒适版,8.28,14.53,2018,2.89,1.6L,0,3
奥迪A6L 2017款 TFSI 技术型,26.2,45.46,2017,7.0,1.8T,0,4
起亚 智跑 2019款 2.0L 自动智享豪华版,11.88,15.19,2021,1.02,2.0L,0,0
起亚 赛拉图 2012款 1.6L MT GL,2.8,9.75,2013,8.6,1.6L,1,8
宝马X3 2019款 xDrive25i 豪华套装,35.8,42.31,2019,4.22,2.0T,0,2
日产 逍客 2016款 2.0L CVT精英版,9.58,16.59,2016,6.51,2.0L,0,5
别克GL8 2017款 ES 28T 旗舰型 国V,34.3,43.41,2019,4.56,2.0T,0,2
哈弗F7 2019款 1.5T 两驱i型 国V,9.88,14.0,2019,3.5,1.5T,0,2
大众 速腾 2018款 280TSI DSG舒适型,11.2,17.35,2018,6.6,1.4T,0,3
宝马1系 2008款 120i 自动挡(进口),5.9,31.26,2010,9.9,2.0L,0,11
大众POLO 2011款 1.6L 自动致尚版,4.68,12.15,2012,6.71,1.6L,0,9
日产 天籁 2019款 2.0T XL Upper 智享版,21.98,24.94,2021,0.01,2.0T,0,0
吉利 博越 2016款 1.8TD 自动智尊型,8.6,16.15,2017,2.7,1.8T,0,4
奔驰C级 2010款 C 200 CGI旅行版(进口),12.98,46.68,2011,9.23,1.8T,0,10
大众POLO 2014款 1.6L 自动舒适版,6.28,11.28,2015,3.7,1.6L,0,6
别克GL8 2018款 28T 豪华型 国VI,22.5,27.45,2019,10.0,2.0T,0,2
大众 捷达 2017款 1.4L 手动时尚型,5.2,8.67,2019,2.2,1.4L,1,2
起亚K3 2019款 1.5L CVT智享科技版,9.38,13.0,2019,1.2,1.5L,0,2
奥迪Q3 2016款 30 TFSI 典藏版 舒享型,15.98,29.83,2016,6.2,1.4T,0,5
马自达 阿特兹 2017款 2.5L 蓝天尊崇版,14.8,23.42,2017,4.64,2.5L,0,4
大众 捷达 2015款 质惠版 1.6L 自动舒适型,5.8,11.46,2016,10.02,1.6L,0,5
奥迪TT 2013款 TT Coupe 45 TFSI(进口),18.18,56.34,2013,6.1,2.0T,0,8
大众 捷达 2012款 1.6L 典藏版,2.88,8.77,2013,11.9,1.6L,1,8
马自达6 2011款 2.0L 手动型,4.22,18.54,2012,13.75,2.0L,1,9
福特 金牛座 2018款 EcoBoost 245 时尚型 国V,17.88,27.12,2019,2.33,2.0T,0,2
大众 捷达 2019款 梦想版 1.4L 手动时尚型,5.68,8.66,2019,2.83,1.4L,1,2
大众POLO 2007款 1.6L Cross POLO AT,3.08,12.81,2009,8.0,1.6L,0,12
别克 昂科旗 2020款 28T 四驱尊贵型,26.5,35.81,2020,0.58,2.0T,0,1
大众 宝来 2017款 1.6L 自动时尚型,6.98,13.0,2017,4.5,1.6L,0,4
大众 迈腾 2013款 1.8TSI 豪华型,10.58,25.27,2014,13.6,1.8T,0,7
大众 捷达 2010款 1.6L 伙伴,3.2,8.23,2013,9.12,1.6L,1,8
福特 福克斯 2013款 三厢经典 1.8L 手动基本型,3.35,10.83,2013,12.23,1.8L,1,8
起亚K5 2016款 2.0L 自动LUX,9.38,19.08,2016,9.01,2.0L,0,5
大众 迈腾 2011款 2.0TSI DSG豪华型,4.98,28.63,2010,16.5,2.0T,0,11
大众 途观 2016款 280TSI 自动两驱丝绸之路风尚版,11.8,21.14,2017,5.14,1.4T,0,4
大众 速腾 2015款 1.6L 自动舒适型,7.48,16.37,2015,8.6,1.6L,0,6
吉利 帝豪 2014款 三厢 1.5L 手动精英型,2.86,8.34,2014,12.5,1.5L,1,7
起亚K2 2015款 三厢 1.4L AT GLS,4.68,9.32,2015,6.94,1.4L,0,6
大众 捷达 2010款 1.6L 伙伴,2.99,8.23,2012,9.29,1.6L,1,9
别克 君威 2012款 2.0L 豪华版,5.75,22.13,2013,12.69,2.0L,0,8
福特 福睿斯 2015款 1.5L 自动时尚型,5.9,13.0,2016,5.15,1.5L,0,5
大众CC  1.8TSI 豪华型,8.38,28.63,2011,8.35,1.8T,0,10
奔驰GLC级 2019款 改款 GLC 260 L 4MATIC 豪华型,37.58,47.2,2019,1.7,2.0T,0,2
雪佛兰 科沃兹 2016款 1.5L 手动欣享版,4.35,8.67,2017,2.42,1.5L,1,4
吉利 远景 2020款 1.5L 手动亚运版,4.99,6.5,2020,0.27,1.5L,1,1
宝马1系 2020款 125i 领先型M运动套装,20.6,26.46,2020,1.82,2.0T,0,1
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,6.98,28.63,2013,14.71,2.4L,0,8
大众 速腾 2018款 280TSI DSG熠动版,11.68,17.78,2019,2.8,1.4T,0,2
大众CC 2015款 1.8TSI 尊贵型,12.8,27.44,2015,13.12,1.8T,0,6
现代ix35 2015款 2.0L 自动两驱智能型 国V,8.36,19.19,2015,5.81,2.0L,0,6
日产 逍客 2016款 2.0L CVT精英版,10.38,16.59,2017,2.17,2.0L,0,4
大众 高尔夫 2015款 1.4TSI 自动舒适型,9.6,16.81,2016,9.8,1.4T,0,5
别克GL8 2017款 ES 28T 舒适型 国V,25.8,31.47,2018,13.63,2.0T,0,3
宝马3系 2015款 320i 进取型,17.5,34.74,2015,6.18,2.0T,0,6
福特 福克斯 2015款 两厢 EcoBoost 125 自动超能风尚型,6.68,15.17,2016,5.9,1.0T,0,5
奔驰A级 2013款 A 180 时尚型(进口),11.98,27.35,2013,7.74,1.6T,0,8
大众 迈腾 2012款 改款 2.0TSI 尊贵型,10.5,29.07,2013,10.0,2.0T,0,8
大众POLO 2011款 1.6L 自动致尚版,4.5,12.15,2011,10.92,1.6L,0,10
大众 宝来 2008款 1.6L 自动时尚型,3.18,13.0,2009,10.24,1.6L,0,12
现代 索纳塔八 2013款 2.0L 自动时尚版,6.98,18.12,2014,13.76,2.0L,0,7
宝马3系 2017款 320Li 时尚型,22.38,35.38,2017,9.0,2.0T,1,4
本田 雅阁 2018款 260TURBO 旗舰版 国V,20.2,24.94,2019,2.82,1.5T,0,2
宝马7系 2013款 730Li 豪华型(进口),34.5,111.1,2013,13.6,3.0L,0,8
福特 翼搏 2013款 1.5L 自动风尚型,4.98,12.24,2013,5.56,1.5L,0,8
雪佛兰 科鲁兹 2013款 1.8L SE AT,4.2,14.86,2013,8.47,1.8L,0,8
马自达3 2010款 2.0L 自动经典运动型,3.8,15.5,2010,11.18,2.0L,0,11
大众 速腾 2014款 改款 1.4TSI 自动豪华型,8.4,18.21,2015,7.94,1.4T,0,6
